BodyType,Make,GenModel,Model,YearFirstUsed,YearManufacture,Licensed,SORN,Electric motor_Electric motor type,Electric motor_Location of the motor,Electric motor_Power,Electric motor_Torque,Second electric motor_Motor type,Second electric motor_Location,Second electric motor_Power,Second electric motor_Torque,Second electric motor_Regenerative braking
Cars,AUDI,AUDI E-TRON,E-TRON 55 QUATTRO,2021,2021,30,0,AC induction/asynchronous,Rear,140 kW (kilowatts)187.7 hp (mechanical horsepower)190.3 ps (metric horsepower),314 Nm (newton meters)32.0 kgm (kilogram meters)231.6 ft-lb (foot-pounds),AC induction/asynchronous,Front,125 kW (kilowatts)167.6 hp (mechanical horsepower)170.0 ps (metric horsepower),247 Nm (newton meters)25.2 kgm (kilogram meters)182.2 ft-lb (foot-pounds),Yes
Cars,AUDI,AUDI E-TRON,E-TRON 55 QUATTRO,2021,2021,30,0,AC induction/asynchronous,Rear,140 kW (kilowatts)187.7 hp (mechanical horsepower)190.3 ps (metric horsepower),314 Nm (newton meters)32.0 kgm (kilogram meters)231.6 ft-lb (foot-pounds),AC induction/asynchronous,Front,125 kW (kilowatts)167.6 hp (mechanical horsepower)170.0 ps (metric horsepower),247 Nm (newton meters)25.2 kgm (kilogram meters)182.2 ft-lb (foot-pounds),
Cars,AUDI,AUDI E-TRON,E-TRON 55 QUATTRO,2020,2020,846,1,AC induction/asynchronous,Rear,140 kW (kilowatts)187.7 hp (mechanical horsepower)190.3 ps (metric horsepower),314 Nm (newton meters)32.0 kgm (kilogram meters)231.6 ft-lb (foot-pounds),AC induction/asynchronous,Front,125 kW (kilowatts)167.6 hp (mechanical horsepower)170.0 ps (metric horsepower),247 Nm (newton meters)25.2 kgm (kilogram meters)182.2 ft-lb (foot-pounds),Yes
Cars,AUDI,AUDI E-TRON,E-TRON 55 QUATTRO,2020,2020,846,1,AC induction/asynchronous,Rear,140 kW (kilowatts)187.7 hp (mechanical horsepower)190.3 ps (metric horsepower),314 Nm (newton meters)32.0 kgm (kilogram meters)231.6 ft-lb (foot-pounds),AC induction/asynchronous,Front,125 kW (kilowatts)167.6 hp (mechanical horsepower)170.0 ps (metric horsepower),247 Nm (newton meters)25.2 kgm (kilogram meters)182.2 ft-lb (foot-pounds),
Cars,AUDI,AUDI E-TRON,E-TRON 55 QUATTRO,2019,2019,624,16,AC induction/asynchronous,Rear,140 kW (kilowatts)187.7 hp (mechanical horsepower)190.3 ps (metric horsepower),314 Nm (newton meters)32.0 kgm (kilogram meters)231.6 ft-lb (foot-pounds),AC induction/asynchronous,Front,125 kW (kilowatts)167.6 hp (mechanical horsepower)170.0 ps (metric horsepower),247 Nm (newton meters)25.2 kgm (kilogram meters)182.2 ft-lb (foot-pounds),
Cars,AUDI,AUDI E-TRON,E-TRON 55 QUATTRO,2019,2019,624,16,AC induction/asynchronous,Rear,140 kW (kilowatts)187.7 hp (mechanical horsepower)190.3 ps (metric horsepower),314 Nm (newton meters)32.0 kgm (kilogram meters)231.6 ft-lb (foot-pounds),AC induction/asynchronous,Front,125 kW (kilowatts)167.6 hp (mechanical horsepower)170.0 ps (metric horsepower),247 Nm (newton meters)25.2 kgm (kilogram meters)182.2 ft-lb (foot-pounds),
Cars,AUDI,AUDI E-TRON,E-TRON 55 QUATTRO,2019,2019,624,16,AC induction/asynchronous,Rear,140 kW (kilowatts)187.7 hp (mechanical horsepower)190.3 ps (metric horsepower),314 Nm (newton meters)32.0 kgm (kilogram meters)231.6 ft-lb (foot-pounds),AC induction/asynchronous,Front,125 kW (kilowatts)167.6 hp (mechanical horsepower)170.0 ps (metric horsepower),247 Nm (newton meters)25.2 kgm (kilogram meters)182.2 ft-lb (foot-pounds),
Cars,AUDI,AUDI E-TRON,E-TRON S QUATTRO,2021,2021,262,0,AC induction/asynchronous,Rear,,,AC induction/asynchronous,Front,,,Yes
Cars,AUDI,AUDI E-TRON,E-TRON S QUATTRO,2021,2021,262,0,AC induction/asynchronous,Rear,,,AC induction/asynchronous,Front,,,Yes
Cars,AUDI,AUDI E-TRON,E-TRON S VORSPRUNG QUATTRO,2021,2021,22,0,AC induction/asynchronous,Rear,,,AC induction/asynchronous,Front,,,Yes
Cars,AUDI,AUDI E-TRON,E-TRON S VORSPRUNG QUATTRO,2021,2021,22,0,AC induction/asynchronous,Rear,,,AC induction/asynchronous,Front,,,Yes
Cars,BMW,BMW I3,I3,2019,2019,2381,3,Permanent magnet synchronous,Rear,125 kW (kilowatts)167.6 hp (mechanical horsepower)170.0 ps (metric horsepower),250 Nm (newton meters)25.5 kgm (kilogram meters)184.4 ft-lb (foot-pounds),,,,,
Cars,BMW,BMW I3,I3,2018,2018,753,3,Permanent magnet synchronous,Rear,125 kW (kilowatts)167.6 hp (mechanical horsepower)170.0 ps (metric horsepower),250 Nm (newton meters)25.5 kgm (kilogram meters)184.4 ft-lb (foot-pounds),,,,,
Cars,BMW,BMW I3,I3,2017,2017,840,12,Permanent magnet synchronous,Rear,125 kW (kilowatts)167.6 hp (mechanical horsepower)170.0 ps (metric horsepower),250 Nm (newton meters)25.5 kgm (kilogram meters)184.4 ft-lb (foot-pounds),,,,,
Cars,BMW,BMW I3,I3,2016,2016,444,9,Permanent magnet synchronous,Rear,125 kW (kilowatts)167.6 hp (mechanical horsepower)170.0 ps (metric horsepower),250 Nm (newton meters)25.5 kgm (kilogram meters)184.4 ft-lb (foot-pounds),,,,,
Cars,BMW,BMW I3,I3,2015,2015,481,6,Permanent magnet synchronous,Rear,125 kW (kilowatts)167.6 hp (mechanical horsepower)170.0 ps (metric horsepower),250 Nm (newton meters)25.5 kgm (kilogram meters)184.4 ft-lb (foot-pounds),,,,,
Cars,BMW,BMW I3,I3,2014,2014,463,13,Permanent magnet synchronous,Rear,125 kW (kilowatts)167.6 hp (mechanical horsepower)170.0 ps (metric horsepower),250 Nm (newton meters)25.5 kgm (kilogram meters)184.4 ft-lb (foot-pounds),,,,,
Cars,BMW,BMW I3,I3S,2019,2019,1427,5,Permanent magnet synchronous,Rear,135 kW (kilowatts)181.0 hp (mechanical horsepower)183.5 ps (metric horsepower),270 Nm (newton meters)27.5 kgm (kilogram meters)199.1 ft-lb (foot-pounds),,,,,
Cars,BMW,BMW I3,I3S,2018,2018,311,4,Permanent magnet synchronous,Rear,135 kW (kilowatts)181.0 hp (mechanical horsepower)183.5 ps (metric horsepower),270 Nm (newton meters)27.5 kgm (kilogram meters)199.1 ft-lb (foot-pounds),,,,,
Cars,FORD,FORD MUSTANG MACH-E,MUSTANG MACH-E GT AWD,2021,2021,48,0,,,,,,,,,
Cars,FORD,FORD MUSTANG MACH-E,MUSTANG MACH-E GT AWD,2021,2021,48,0,,Rear,198 kW (kilowatts)265.5 hp (mechanical horsepower)269.2 ps (metric horsepower),430 Nm (newton meters)43.8 kgm (kilogram meters)317.2 ft-lb (foot-pounds),,,,,
Cars,FORD,FORD MUSTANG MACH-E,MUSTANG MACH-E GT AWD,2021,2021,48,0,,,,,,,,,
Cars,FORD,FORD MUSTANG MACH-E,MUSTANG MACH-E GT AWD,2021,2021,48,0,,Rear,198 kW (kilowatts)265.5 hp (mechanical horsepower)269.2 ps (metric horsepower),430 Nm (newton meters)43.8 kgm (kilogram meters)317.2 ft-lb (foot-pounds),,,,,
Cars,FORD,FORD MUSTANG MACH-E,MUSTANG MACH-E GT AWD,2021,2021,48,0,,Rear,216 kW (kilowatts)289.7 hp (mechanical horsepower)293.7 ps (metric horsepower),430 Nm (newton meters)43.8 kgm (kilogram meters)317.2 ft-lb (foot-pounds),,,,,
Cars,FORD,FORD MUSTANG MACH-E,MUSTANG MACH-E GT AWD,2021,2021,48,0,Permanent magnet synchronous,Rear,,,Permanent magnet synchronous,Front,,,
Cars,FORD,FORD MUSTANG MACH-E,MUSTANG MACH-E GT AWD,2021,2021,48,0,Permanent magnet synchronous,Rear,,,Permanent magnet synchronous,Front,,,
Cars,FORD,FORD MUSTANG MACH-E,MUSTANG MACH-E GT AWD,2021,2021,48,0,,,,,,,,,
Cars,FORD,FORD MUSTANG MACH-E,MUSTANG MACH-E STD RANGE AWD,2021,2021,362,0,,,,,,,,,
Cars,FORD,FORD MUSTANG MACH-E,MUSTANG MACH-E STD RANGE AWD,2021,2021,362,0,,Rear,198 kW (kilowatts)265.5 hp (mechanical horsepower)269.2 ps (metric horsepower),430 Nm (newton meters)43.8 kgm (kilogram meters)317.2 ft-lb (foot-pounds),,,,,
Cars,FORD,FORD MUSTANG MACH-E,MUSTANG MACH-E STD RANGE AWD,2021,2021,362,0,,,,,,,,,
Cars,FORD,FORD MUSTANG MACH-E,MUSTANG MACH-E STD RANGE AWD,2021,2021,362,0,,Rear,198 kW (kilowatts)265.5 hp (mechanical horsepower)269.2 ps (metric horsepower),430 Nm (newton meters)43.8 kgm (kilogram meters)317.2 ft-lb (foot-pounds),,,,,
Cars,FORD,FORD MUSTANG MACH-E,MUSTANG MACH-E STD RANGE AWD,2021,2021,362,0,,Rear,216 kW (kilowatts)289.7 hp (mechanical horsepower)293.7 ps (metric horsepower),430 Nm (newton meters)43.8 kgm (kilogram meters)317.2 ft-lb (foot-pounds),,,,,
Cars,FORD,FORD MUSTANG MACH-E,MUSTANG MACH-E STD RANGE AWD,2021,2021,362,0,Permanent magnet synchronous,Rear,,,Permanent magnet synchronous,Front,,,
Cars,FORD,FORD MUSTANG MACH-E,MUSTANG MACH-E STD RANGE AWD,2021,2021,362,0,Permanent magnet synchronous,Rear,,,Permanent magnet synchronous,Front,,,
Cars,FORD,FORD MUSTANG MACH-E,MUSTANG MACH-E STD RANGE AWD,2021,2021,362,0,,,,,,,,,
Cars,FORD,FORD MUSTANG MACH-E,MUSTANG MACH-E STD RANGE RWD,2021,2021,645,0,,,,,,,,,
Cars,FORD,FORD MUSTANG MACH-E,MUSTANG MACH-E STD RANGE RWD,2021,2021,645,0,,Rear,198 kW (kilowatts)265.5 hp (mechanical horsepower)269.2 ps (metric horsepower),430 Nm (newton meters)43.8 kgm (kilogram meters)317.2 ft-lb (foot-pounds),,,,,
Cars,FORD,FORD MUSTANG MACH-E,MUSTANG MACH-E STD RANGE RWD,2021,2021,645,0,,,,,,,,,
Cars,FORD,FORD MUSTANG MACH-E,MUSTANG MACH-E STD RANGE RWD,2021,2021,645,0,,Rear,198 kW (kilowatts)265.5 hp (mechanical horsepower)269.2 ps (metric horsepower),430 Nm (newton meters)43.8 kgm (kilogram meters)317.2 ft-lb (foot-pounds),,,,,
Cars,FORD,FORD MUSTANG MACH-E,MUSTANG MACH-E STD RANGE RWD,2021,2021,645,0,,Rear,216 kW (kilowatts)289.7 hp (mechanical horsepower)293.7 ps (metric horsepower),430 Nm (newton meters)43.8 kgm (kilogram meters)317.2 ft-lb (foot-pounds),,,,,
Cars,FORD,FORD MUSTANG MACH-E,MUSTANG MACH-E STD RANGE RWD,2021,2021,645,0,Permanent magnet synchronous,Rear,,,Permanent magnet synchronous,Front,,,
Cars,FORD,FORD MUSTANG MACH-E,MUSTANG MACH-E STD RANGE RWD,2021,2021,645,0,Permanent magnet synchronous,Rear,,,Permanent magnet synchronous,Front,,,
