BodyType,Make,GenModel,Model,YearFirstUsed,YearManufacture,Licensed,SORN,Electric motor_Electric motor type,Electric motor_Location of the motor,Electric motor_Power,Electric motor_Torque,Second electric motor_Motor type,Second electric motor_Location,Second electric motor_Power,Second electric motor_Torque,Second electric motor_Regenerative braking
Cars,AUDI,AUDI E-TRON,E-TRON 55 QUATTRO,2021,2021,30,0,AC induction/asynchronous,Rear,140 kW (kilowatts)187.7 hp (mechanical horsepower)190.3 ps (metric horsepower),314 Nm (newton meters)32.0 kgm (kilogram meters)231.6 ft-lb (foot-pounds),AC induction/asynchronous,Front,125 kW (kilowatts)167.6 hp (mechanical horsepower)170.0 ps (metric horsepower),247 Nm (newton meters)25.2 kgm (kilogram meters)182.2 ft-lb (foot-pounds),
Cars,AUDI,AUDI E-TRON,E-TRON 55 QUATTRO,2020,2020,846,1,AC induction/asynchronous,Rear,140 kW (kilowatts)187.7 hp (mechanical horsepower)190.3 ps (metric horsepower),314 Nm (newton meters)32.0 kgm (kilogram meters)231.6 ft-lb (foot-pounds),AC induction/asynchronous,Front,125 kW (kilowatts)167.6 hp (mechanical horsepower)170.0 ps (metric horsepower),247 Nm (newton meters)25.2 kgm (kilogram meters)182.2 ft-lb (foot-pounds),
Cars,AUDI,AUDI E-TRON,E-TRON 55 QUATTRO,2019,2019,624,16,AC induction/asynchronous,Rear,140 kW (kilowatts)187.7 hp (mechanical horsepower)190.3 ps (metric horsepower),314 Nm (newton meters)32.0 kgm (kilogram meters)231.6 ft-lb (foot-pounds),AC induction/asynchronous,Front,125 kW (kilowatts)167.6 hp (mechanical horsepower)170.0 ps (metric horsepower),247 Nm (newton meters)25.2 kgm (kilogram meters)182.2 ft-lb (foot-pounds),
Cars,AUDI,AUDI E-TRON,E-TRON S QUATTRO,2021,2021,262,0,AC induction/asynchronous,Rear,,,AC induction/asynchronous,Front,,,Yes
Cars,HONDA,HONDA E,E,2020,2020,25,0,,Rear,100 kW (kilowatts)134.1 hp (mechanical horsepower)136.0 ps (metric horsepower),315 Nm (newton meters)32.1 kgm (kilogram meters)232.3 ft-lb (foot-pounds),,,,,
Cars,PORSCHE,PORSCHE TAYCAN,TAYCAN TURBO,2020,2020,670,10,Permanent magnet synchronous,Front,160 kW (kilowatts)214.6 hp (mechanical horsepower)217.5 ps (metric horsepower),300 Nm (newton meters)30.6 kgm (kilogram meters)221.3 ft-lb (foot-pounds),Permanent magnet synchronous,Rear,300 kW (kilowatts)402.3 hp (mechanical horsepower)407.9 ps (metric horsepower),,
Cars,PORSCHE,PORSCHE TAYCAN,TAYCAN TURBO S,2020,2020,400,6,Permanent magnet synchronous,Front,160 kW (kilowatts)214.6 hp (mechanical horsepower)217.5 ps (metric horsepower),300 Nm (newton meters)30.6 kgm (kilogram meters)221.3 ft-lb (foot-pounds),Permanent magnet synchronous,Rear,300 kW (kilowatts)402.3 hp (mechanical horsepower)407.9 ps (metric horsepower),,Yes
Cars,TESLA,TESLA MODEL 3,MODEL 3 LONG RANGE AWD,2021,2021,22689,35,Permanent magnet synchronous,Rear,188 kW (kilowatts)252.1 hp (mechanical horsepower)255.6 ps (metric horsepower),,AC induction/asynchronous,Front,147 kW (kilowatts)197.1 hp (mechanical horsepower)199.9 ps (metric horsepower),,Yes
Cars,TESLA,TESLA MODEL 3,MODEL 3 LONG RANGE AWD,2020,2020,10540,44,Permanent magnet synchronous,Rear,188 kW (kilowatts)252.1 hp (mechanical horsepower)255.6 ps (metric horsepower),,AC induction/asynchronous,Front,147 kW (kilowatts)197.1 hp (mechanical horsepower)199.9 ps (metric horsepower),,Yes
Cars,TESLA,TESLA MODEL 3,MODEL 3 LONG RANGE AWD,2019,2019,2909,10,Switched reluctance,Rear,188 kW (kilowatts)252.1 hp (mechanical horsepower)255.6 ps (metric horsepower),,AC induction/asynchronous,Front,147 kW (kilowatts)197.1 hp (mechanical horsepower)199.9 ps (metric horsepower),,Yes
Cars,TESLA,TESLA MODEL 3,MODEL 3 PERFORMANCE AWD,2021,2021,2552,5,Permanent magnet synchronous,Rear,211 kW (kilowatts)283.0 hp (mechanical horsepower)286.9 ps (metric horsepower),,AC induction/asynchronous,Front,147 kW (kilowatts)197.1 hp (mechanical horsepower)199.9 ps (metric horsepower),,Yes
