,RefID,RecordLastUpdated(dd/mm/yyyy),Operator(orApplicant),SiteName,TechnologyType,InstalledCapacity(MWelec),TurbineCapacity(MW),No.ofTurbines,HeightofTurbines(m),DevelopmentStatus,Address,County,Region,Country,PostCode,X-coordinate,Y-coordinate,Operational,gov_coords
2013,2479,04/07/2018,Statoil,Hywind Scotland Pilot Park (Hywind 2) Demonstrator,Wind Offshore,30,6,5,,Operational,"Buchan Deeps, 20km off Peterhead",Offshore,Offshore,Scotland,,433500,846500.0,27/10/2017,"(57.50746300002732, -1.4425753613795915)"
2015,2485,31/05/2017,Talisman Energy,Beatrice Demonstrator,Wind Offshore,10,5,2,,Operational,Beatrice Offshore Platform,Offshore,Offshore,Scotland,,347955,929690.0,17/07/2007,"(58.25281218783603, -2.8884309961109604)"
2017,2487,27/02/2018,Orsted (formerly Dong Energy),Burbo Bank,Wind Offshore,90,3.6,25,,Operational,"Burbo Flats, Liverpool Bay, approximately 6.4km (4.0 miles) from the Sefton coastline and 7.2km (4.5 miles) from North Wirral.",Offshore,Offshore,England,,321476,399706.0,18/10/2007,"(53.48818301652092, -3.1849225421466496)"
2018,2488,20/11/2017,Orsted (formerly Dong Energy),Gunfleet Sands - (Demo) Extension,Wind Offshore,12,6,2,,Operational,off the Essex coast,Offshore,Offshore,England,,620650,205297.0,19/04/2013,"(51.7030094109693, 1.1919058334121093)"
2019,2489,20/11/2017,Orsted (formerly Dong Energy),Gunfleet Sands II,Wind Offshore,64.8,3.6,18,,Operational,5 Miles from the Essex coast at Frinton-on-Sea,Offshore,Offshore,England,,624262,208150.0,24/07/2009,"(51.727189344092245, 1.2459247308644263)"
2020,2490,01/05/2018,Orsted (formerly Dong Energy),Gunfleet Sands Offshore Wind Scheme,Wind Offshore,108,3.6,30,,Operational,Gunfleet Sands 4 miles offshore from Holland-on-Sea Nr Clacton-on-Sea Essex,Offshore,Offshore,England,,622317,208468.0,24/07/2009,"(51.730817943483764, 1.2180120087263888)"
2021,2491,24/08/2017,XceCo,Inner Dowsing,Wind Offshore,97.2,3.6,27,,Operational,5.2km Ingoldmells ,Offshore,Offshore,England,,563561,368447.0,20/04/2008,"(53.18796717501717, 0.44651854477698955)"
2022,2492,27/10/2017,Vattenfall,Kentish Flats,Wind Offshore,90,3,30,,Operational,"Saltend, Thames Estuary, North Sea",Offshore,Offshore,England,,615015,178055.0,10/09/2005,"(51.460612302687416, 1.0938168397639183)"
2023,2493,24/08/2017,XceCo,Lynn,Wind Offshore,97.2,3.6,27,,Operational,5.2km Skegness ,Offshore,Offshore,England,,564095,362638.0,15/03/2008,"(53.13563413790387, 0.4515270485360618)"
2024,2494,23/08/2017,Greencoat (formerly Npower Renewables),North Hoyle,Wind Offshore,60,2,30,,Operational,7.5km Prestatyn & Rhyl ,Offshore,Offshore,Wales,,303823,392138.0,01/12/2003,"(53.41724630594418, -3.4485734825867183)"
2025,2495,23/08/2017,RWE Npower,Rhyl Flats,Wind Offshore,90,3.6,25,,Operational,"8km Abergele, five miles off the North Wales coast in Liverpool Bay",Offshore,Offshore,Wales,,290990,388002.0,28/12/2009,"(53.377586994122076, -3.6401507758717044)"
2026,2496,18/08/2017,E.ON UK,Robin Rigg East,Wind Offshore,84,3,30,,Operational,9.5km Maryport/8.5km off Rock Cliffe ,Offshore,Offshore,Scotland,,291005,542348.0,28/04/2010,"(54.764193721706526, -3.6955193744355985)"
2027,2497,18/08/2017,E.ON UK,Robin Rigg West,Wind Offshore,90,3,28,,Operational,9.5km Maryport/8.5km off Rock Cliffe ,Offshore,Offshore,Scotland,,288785,540522.0,18/07/2009,"(54.7473047155194, -3.72930572308968)"
2028,2498,29/02/2016,E.ON UK,Scroby Sands,Wind Offshore,60,2,30,,Operational,"3km NE Great Yarmouth, Norfolk",Offshore,Offshore,England,,656417,311874.0,01/03/2004,"(52.64394606182699, 1.7889032049175422)"
2029,2499,01/05/2018,Vattenfall,Thanet,Wind Offshore,300,3,100,,Operational,11km off North Foreland Kent,Offshore,Offshore,England,,652658,176367.0,16/09/2010,"(51.42993205828251, 1.6334113898517628)"
2030,2500,03/09/2020,Orsted (formerly Dong Energy),Walney 1,Wind Offshore,183.6,3.6,51,,Operational,"14km off Walney Island, Irish Sea",Offshore,Offshore,England,,300833,461449.0,30/05/2011,"(54.03944862079484, -3.5157888623453255)"
