,RefID,RecordLastUpdated,Operator,SiteName,TechnologyType,InstalledCapacity,TurbineCapacity,No.ofTurbines,HeightofTurbines,DevelopmentStatus,Address,County,Region,Country,PostCode,X-coordinate,Y-coordinate,Operational,gov_coords
2073,2555,09/05/2013,Ecotricity,South Beach Wind Turbine (Somerton),Wind Onshore,1.5,1.47,1.0,,Operational,"Somerton, Great Yarmouth, Norfolk",Norfolk,Eastern,England,,646953,318736.0,22/07/2000,"(52.7098941617513, 1.6544623487086005)"
2074,2556,04/12/2008,LRZ Ltd (Taken over by NOVERA),Swaffham 1 - Ecotech Wind Park,Wind Onshore,1.5,1.47,1.0,,Operational,"East of West Acre Road
Swaffham
Norfolk",Norfolk,Eastern,England,,581585,309935.0,16/08/1999,"(52.65672934377144, 0.6832674613883248)"
2075,2559,18/05/2006,Cynllun Trydan Gwynt,Mynydd Gorddu Wind Farm,Wind Onshore,10.2,0.54,19.0,,Operational,Mynydd Gorddu Elerch Tal-y-Bont Dyfed,Dyfed,Wales,Wales,,266200,287200.0,18/04/1998,"(52.466296522145704, -3.971000532131067)"
2078,2563,22/04/2009,"Renewable Development Company Ltd, KENTECH Ltd",Cefn Croes Wind Farm,Wind Onshore,58.5,1.5,39.0,,Operational,"Canolbarth Forest,  Devils Bridge  Ceredigion",Dyfed,Wales,Wales,,281000,280000.0,25/01/2005,"(52.40502768181345, -3.750691129954679)"
2079,2564,30/10/2011,RWE npower,Carno 'B' Wind Farm,Wind Onshore,16.8,0.6,28.0,,Operational,"Trannon Moor, Carno, Powys",Powys,Wales,Wales,,291053,295836.0,01/10/1996,"(52.54943253516271, -3.608162900298291)"
2080,2565,30/10/2011,RWE npower,Carno 'A' Wind Farm,Wind Onshore,16.8,0.6,28.0,,Operational,"Cwm Cledan
Carno
Powys",Powys,Wales,Wales,,293000,295000.0,01/10/1996,"(52.542306419692125, -3.5791910905231066)"
2081,2566,03/02/2010,Vestas,Cemmaes 'B' Wind Farm,Wind Onshore,3.4,0.56,6.0,,Operational,"Mynydd y Cemmaes
Cemmaes
Machynlleth
Powys",Powys,Wales,Wales,,287000,308000.0,01/02/2002,"(52.65791061653896, -3.6720677381405245)"
2082,2567,09/12/2003,RWE npower,Trysglwyn Wind Farm,Wind Onshore,5.6,0.4,14.0,,Operational,"Trysglwyn Fawr
Rhosybol
Isle of Anglesey
Gwynedd",Gwynedd,Wales,Wales,,244000,389000.0,01/05/1996,"(53.374759720595314, -4.346466424972191)"
2083,2568,03/10/2018,Private Developer,Hafoty Ucha '2' and '3' Wind Turbine,Wind Onshore,2.6,0.85,3.0,,Operational,"3 km South of Cerrigydrudion
Llangwm",Clwyd,Wales,Wales,,293500,345500.0,15/12/2002,"(52.996202280528635, -3.5882564842916334)"
2086,2574,10/02/2003,Mersey Docks and Harbour Company and Windcluster Limited,Royal Seaforth Dock Wind Farm,Wind Onshore,3.0,0.5,6.0,,Operational,"Royal Seaforth Dock Port of Liverpool Bootle, Sefton Merseyside",Merseyside,North West,England,,331100,397000.0,24/04/1999,"(53.465214429551324, -3.0393103753899644)"
