Name,Model,Owner,Coordinates,wiki_coords
Frodsham,,,53°17′46″N 02°45′28″W﻿ / ﻿53.29611°N 2.75778°W,"(53.29611, -2.75778)"
Bears Down,Bonus B600,Innogy,50°28′23″N 04°57′11″W﻿ / ﻿50.47306°N 4.95306°W,"(50.47306, -4.95306)"
Cold Northcott,WEG MS3-300,First Wind Farm Holdings,50°38′14″N 04°31′07″W﻿ / ﻿50.63722°N 4.51861°W,"(50.63722, -4.51861)"
Four Burrows,Bonus B300,RES,50°17′30″N 05°08′44″W﻿ / ﻿50.29167°N 5.14556°W,"(50.29167, -5.14556)"
West Durham,REpower MM82,ESB Group,54°46′05″N 01°49′18″W﻿ / ﻿54.76806°N 1.82167°W,"(54.76806, -1.82167)"
Kirkby Moor,Vestas WD34,Beaufort Wind Limited,54°14′46″N 03°09′08″W﻿ / ﻿54.24611°N 3.15222°W,"(54.24611, -3.15222)"
Goole Fields 1,Senvion MM92,RWE,53°40′58″N 00°47′41″W﻿ / ﻿53.68278°N 0.79472°W,"(53.68278, -0.79472)"
Goole Fields 2,Senvion MM92,RWE,53°40′58″N 00°47′41″W﻿ / ﻿53.68278°N 0.79472°W,"(53.68278, -0.79472)"
Hall Farm,REpower MM82,John Laing Investments,53°52′1.8″N 00°22′15.8″W﻿ / ﻿53.867167°N 0.371056°W,"(53.867167, -0.371056)"
Lissett Airfield,Nordex N90,-,54°00′35″N 00°15′15″W﻿ / ﻿54.00972°N 0.25417°W,"(54.00972, -0.25417)"
Little Cheyne Court,Nordex N90,-,50°57′45″N 00°49′13″E﻿ / ﻿50.96250°N 0.82028°E,"(50.9625, 0.82028)"
Coal Clough,Vestas WD34,"ScottishPower, SWEB, RES",53°44′55″N 02°10′03″W﻿ / ﻿53.74861°N 2.16750°W,"(53.74861, -2.1675)"
Scout Moor,Nordex N80,Peel Wind Power Ltd,53°40′01″N 02°16′26″W﻿ / ﻿53.66694°N 2.27389°W,"(53.66694, -2.27389)"
Hyndburn,REpower MM82,-,53°42′52″N 02°23′10″W﻿ / ﻿53.71444°N 2.38611°W,"(53.71444, -2.38611)"
Bicker Fen,REpower MM82,EDF EN,52°55′34″N 00°12′59″W﻿ / ﻿52.92611°N 0.21639°W,"(52.92611, -0.21639)"
Conisholme Fen Resubmission,Enercon E48,Ecotricity,53°25′32″N 00°04′48″W﻿ / ﻿53.42556°N 0.08000°W,"(53.42556, -0.08)"
Rusholme,REpower MM82,EDF EN,53°43′32″N 00°55′15″W﻿ / ﻿53.72556°N 0.92083°W,"(53.72556, -0.92083)"
Green Rigg,Vestas V80,EDF Energy,55°05′56″N 02°11′55″W﻿ / ﻿55.09889°N 2.19861°W,"(55.09889, -2.19861)"
Royd Moor,Bonus M1500-500,E.ON Renewables,53°31′55″N 01°40′10″W﻿ / ﻿53.53194°N 1.66944°W,"(53.53194, -1.66944)"
Llyn Alaw,Bonus B600,Beaufort Wind Limited,53°21′48″N 04°26′59″W﻿ / ﻿53.36333°N 4.44972°W,"(53.36333, -4.44972)"
Alltwalis (formerly Blaengwen),Siemens SWT-2.3,-,51°58′42″N 04°15′03″W﻿ / ﻿51.97833°N 4.25083°W,"(51.97833, -4.25083)"
Blaen Bowi,Nordex N60,Windjen Power Ltd,51°59′17″N 04°26′43″W﻿ / ﻿51.98806°N 4.44528°W,"(51.98806, -4.44528)"
Parc Cynog,NEG Micon,Nuon Renewables,51°45′33″N 04°32′40″W﻿ / ﻿51.75917°N 4.54444°W,"(51.75917, -4.54444)"
Pendine (Parc Cynog Extension I),Enercon E48,Nuon Renewables,51°45′33″N 04°32′40″W﻿ / ﻿51.75917°N 4.54444°W,"(51.75917, -4.54444)"
