RefID,RecordLastUpdated,Operator,SiteName,TechnologyType,InstalledCapacity,TurbineCapacity,No.ofTurbines,HeightofTurbines,DevelopmentStatus,Address,County,Region,Country,PostCode,X-coordinate,Y-coordinate,Operational,Name,Model,Owner
2713,05/08/2019,Npower Renewables,Kirkby Moor,Wind Onshore,4.8,0.4,12,,Operational,"approximately 4km from Ulverston, within a Site of Special Scientific Interest",Cumbria,North West,England,,326111,485242,01/01/1993,Kirkby Moor,Vestas WD34,Beaufort Wind Limited
2902,03/11/2010,EDF Energies Nouvelles,Burnfoot Hill,Wind Onshore,26,2,13,,Operational,"Burnfoot Hill, Clackmannanshire",Clackmannanshire,Scotland,Scotland,,290135,703250,26/10/2010,Burnfoot Hill,REpower MM82,-
2922,09/06/2010,Green Cat Renewables,Strath of Brydock,Wind Onshore,4.6,1.3,2,,Operational,"Strath of Brydock
Alvah
Banff",Grampian,Scotland,Scotland,,365391,859727,01/06/2009,Strath of Brydock,Enercon E70,-
2927,29/07/2010,EF Energy,Owenreagh Extension,Wind Onshore,5.1,0.85,6,,Operational,"Land near Craignagapple 10km South East of Strabane, County Tyrone",Co. Tyrone,Northern Ireland,Northern Ireland,,57401,558796,01/08/2008,Owenreagh Extension,Vestas V52,South Western Services
2940,09/06/2010,Scotia Wind Ltd,Craigengelt,Wind Onshore,20,2.5,8,,Operational,"Craigengelt Hill, Stirling",Stirling,Scotland,Scotland,,272451,686495,31/03/2010,Craigengelt,Nordex N80,-
3034,08/10/2013,Solutia / Vestas,Solutia UK Ltd,Wind Onshore,5,2.5,2,,Operational,"Traston Road, Newport, South Wales",Gwent,Wales,Wales,NP14 4XF,333375,185740,17/12/2009,Solutia UK Ltd,Nordex N90,Wind Direct Ltd
3090,27/11/2001,National Energy Laboratories (NEL),Myres Hill,Wind Onshore,1.8,0.9,2,,Operational,Galloway,Strathclyde,Scotland,Scotland,,256840,646620,01/11/2001,Myres Hill,NEG Micon NM52,-
3108,18/05/2017,Innogy (formerly RWE npower),Causeymire,Wind Onshore,48.3,2,24,,Operational,"Causey Mire, Caithness, Highlands",Highland,Scotland,Scotland,,336736,951086,01/06/2004,Causeymire,Bonus B2300,Innogy
3113,05/01/2015,Greencoat UK Wind,Bin Mountain,Wind Onshore,9,1.5,6,,Operational,"Lough Hill
Castle Craig, Curraghmacall
Drummahon,",Co. Tyrone,Northern Ireland,Northern Ireland,,38520,541806,01/02/2007,Bin Mountain,GE 1.5s,Airtricity
3117,06/08/2004,Airtricity,Ardrossan,Wind Onshore,24,2,12,,Operational,"Near Ardrossan
North Ayreshire",Strathclyde,Scotland,Scotland,,223500,642500,19/12/2003,Ardrossan,Vestas V80,Infinis
3126,23/10/2009,Private Developer,Boulfruich,Wind Onshore,13,0.85,15,,Operational,"Houstry
Dunbeath
Caithness",Highland,Scotland,Scotland,,315500,935500,01/08/2005,Boulfruich,Vestas V52,Anthony & Kathryn Hall
3128,15/09/2010,Wind Prospect,Bicker Fen,Wind Onshore,26.7,2,13,,Operational,"Bicker Fen, Bicker, Boston, Lincolnshire",Lincolnshire,East Midlands,England,,519870,339325,28/07/2008,Bicker Fen,REpower MM82,EDF EN
3135,06/05/2009,RDC Scotland (Renewable Development Co.),Ben Aketil,Wind Onshore,23,2.3,10,,Operational,"Ben Aketil
Feorlig
Dunvegan",Highland,Scotland,Scotland,,132500,846500,01/09/2007,Ben Aketil,Enercon E70,Falck Renewables
3168,02/08/2017,Bessy Bell Windfarm,Bessy Bell Extension,Wind Onshore,9,1.3,6,,Operational,"Bessy Bell Moutain, 5km south of Newtownstewart, 17km south of Strabane and 9km northwest of Omagh",Co. Tyrone,Northern Ireland,Northern Ireland,,50592,547973,24/04/2008,Bessy Bell Extension,GE 1.5s,Airtricity
3200,04/06/2015,Tetro Energy Ltd (ECO2),Dummuie,Wind Onshore,12.3,1.75,7,,Operational,"East Dummuie
Huntly",Grampian,Scotland,Scotland,,358600,840300,01/01/2007,Dummuie,Vestas V66,Englefield Renewable Energy Fund
3201,27/06/2016,Falck Renewables,Earlsburn,Wind Onshore,37.5,2.5,14,,Operational,"Hart Hill, Fintry, Stirling",Stirling,Scotland,Scotland,,269652,688422,01/02/2007,Earlsburn,Nordex N80,Falck Renewables
3229,03/03/2010,Westbury Windfarms,Llangwyryfon,Wind Onshore,9.4,0.85,11,,Operational,"Llangwyryfon,
Southeast Aberystwyth
Ceredigion",Dyfed,Wales,Wales,,261752,269577,01/02/2004,Llangwyryfon,Vestas V52,First Wind Farm Holdings
3232,06/04/2010,Your Energy,Pates Hill,Wind Onshore,14,2,7,,Operational,"West Calder Lothian, EH55",Lothian,Scotland,Scotland,,299130,659300,20/01/2010,Pates Hill,Vestas V80,Winscales Moor Wind Farm Ltd
3244,03/01/2019,B9 Energy / RES,Altahullion Phase II,Wind Onshore,11.7,1.3,9,,Operational,"Altahullion Wind Farm,
Dungiven,
Co. Londonderry",Co. Derry / Londonderry,Northern Ireland,Northern Ireland,,80176,575395,01/09/2007,Altahullion Phase II,Siemens SWT-1.3,RES-GEN
3253,10/05/2016,Wind Farm Developments  / RES UK & Ireland,Hunter's Hill,Wind Onshore,20,2.5,8,,Operational,"Hunter's Hill, (In the townlands of Tattymoyle Lower, Edergole, Killygordon and Tattanafinnell), Co Tyrone",Co. Tyrone,Northern Ireland,Northern Ireland,,53811,517991,22/09/2010,Hunter's Hill,Nordex N80,ESB Group
3292,30/07/2013,CRE Energy/ Scottish Power,Beinn an Tuirc,Wind Onshore,30,0.37,46,,Operational,Nr. Carradale,Strathclyde,Scotland,Scotland,,173950,636900,23/12/2001,Beinn an Tuirc,Vestas V47,ScottishPower
3306,02/02/2010,Arnish Electric Ltd / Farm Energy,Arnish Moor,Wind Onshore,3.9,1.3,3,,Operational,"Nr Stornaway, Isle of Lewis",Western Isles,Scotland,Scotland,,139155,929460,01/12/2006,Arnish Moor,Nordex N60,John Moulton
3307,05/10/2009,Orkney Sustainable Energy,Burgar Hill,Wind Onshore,5,2.5,2,,Operational,"Evie, Orkney",Orkney Islands,Scotland,Scotland,,334300,1026200,01/12/2006,Burgar Hill,Nordex N80,Innogy
3311,15/02/2016,Green Investment Bank  (Blackrock),Glens of Foudland,Wind Onshore,26,1.3,20,,Operational,"Bognie Estate, Upper Milburn, Aberdeenshire",Grampian,Scotland,Scotland,,361900,837400,22/07/2005,Glens of Foudland,Bonus B1300,Centrica Renewable Energy Ltd
3432,23/10/2009,,Royd Moor,Wind Onshore,5.9,0.45,13,,Operational,"Royd Moor, Penistone",South Yorkshire,Yorkshire and Humber,England,,422000,404000,01/12/1993,Royd Moor,Bonus M1500-500,E.ON Renewables
3453,04/02/2009,A7 Energy / Green Energy,Lochhead Farm,Wind Onshore,6,2,3,,Operational,"Land at Lochhead Farm, Stonehouse",Strathclyde,Scotland,Scotland,,275500,646500,01/07/2009,Lochhead Farm,REpower MM82,-
3457,28/10/2010,Scottish and Southern Energy (SSE),Toddleburn,Wind Onshore,27.6,2.3,12,,Operational,Oxton,Borders,Scotland,Scotland,,345050,653150,12/10/2010,Toddleburn,Siemens SWT-2.3,SSE Renewables
3487,10/05/2016,CRE Energy/ Scottish Power,Green Knowes,Wind Onshore,27,1.5,18,,Operational,"Land at Green Knowes, by Glendevon",Tayside,Scotland,Scotland,,296850,707550,29/09/2008,Green Knowes,Acciona AW1500,ScottishPower
3496,08/05/2009,E.ON UK,Hare Hill,Wind Onshore,1.3,1.3,1,,Operational,"Harehill Farm, Haswell Plough, County Durham",County Durham,North East,England,,437735,540895,01/07/2004,Hare Hill,Vestas V47,ScottishPower
3511,04/07/2018,Otter Power,Cold Northcott,Wind Onshore,6.6,0.3,22,,Operational,"Launceston
Cornwall",Cornwall,South West,England,,220040,85965,01/06/2002,Cold Northcott,WEG MS3-300,First Wind Farm Holdings
3554,05/08/2019,Powergen Renewables,Deucheran Hill,Wind Onshore,15.8,1.75,9,,Operational,"Deucheran Hill
Nr. Muasdale",Strathclyde,Scotland,Scotland,,177000,643000,30/11/2001,Deucheran Hill,Vestas V66,E.ON Renewables
