product_category_id,product_category,unu_key,unu_desc,unu_1995,unu_2000,unu_2005,unu_2010,unu_2011,unu_2012
1,Aircon/dehumidifier,111,Air Conditioners (household installed and portable),33.40,47.30,26.60,26.60,26.60,25.20
2,Battery/charger/adapter,201,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",0.80,0.90,0.80,0.80,0.90,0.80
3,Decorative or safety lights,506,Household Luminaires (incl. household incandescent fittings),0.60,0.50,0.50,0.50,0.50,0.50
4,Desktop computer,302,"Desktop PCs (excl. monitors, accessories)",15.00,10.20,9.20,8.80,8.80,8.80
5,Digital compact camera,406,"Cameras (f.i. camcorders, photo & digital still cameras)",1.00,0.90,0.50,0.30,0.30,0.30
6,DSLR/video camera,406,"Cameras (f.i. camcorders, photo & digital still cameras)",1.00,0.90,0.50,0.30,0.30,0.30
7,Fan,201,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",0.80,0.90,0.80,0.80,0.90,0.80
8,Flat screen,408,"Flat Display Panel TVs (LCD, LED, Plasma)",,,12.00,14.70,14.70,14.30
9,Hair & beauty item,205,"Personal Care (f.i. tooth brushes, hair dryers, razors)",0.70,0.60,0.50,0.50,0.50,0.50
10,Handheld entertainment device,401,"Small Consumer Electronics (f.i. headphones, remote controls)",0.40,0.40,0.40,0.40,0.40,0.40
11,Headphones,401,"Small Consumer Electronics (f.i. headphones, remote controls)",0.40,0.40,0.40,0.40,0.40,0.40
12,Hi-Fi integrated,403,"Music Instruments, Radio, HiFi (incl. audio sets)",3.30,3.30,2.30,3.40,3.50,3.40
13,Hi-Fi separates,403,"Music Instruments, Radio, HiFi (incl. audio sets)",3.30,3.30,2.30,3.40,3.50,3.40
14,Kettle,203,"Hot Water (f.i. coffee, tea, water cookers)",1.80,2.70,1.30,2.80,2.90,2.80
15,Lamp,506,Household Luminaires (incl. household incandescent fittings),0.60,0.50,0.50,0.50,0.50,0.50
16,Laptop,303,Laptops (incl. tablets),4.90,4.30,3.70,3.20,3.20,3.00
17,Large home electrical,601,"Household Tools (f.i. drills, saws, high pressure cleaners, lawn mowers)",16.70,15.90,15.20,15.20,15.20,14.40
18,Misc,601,"Household Tools (f.i. drills, saws, high pressure cleaners, lawn mowers)",16.70,15.90,15.20,15.20,15.20,14.40
19,Mobile,306,"Mobile Phones (incl. smartphones, pagers)",0.60,0.20,0.10,0.10,0.10,0.10
20,Musical instrument,403,"Music Instruments, Radio, HiFi (incl. audio sets)",3.30,3.30,2.30,3.40,3.50,3.40
21,Paper shredder,601,"Household Tools (f.i. drills, saws, high pressure cleaners, lawn mowers)",16.70,15.90,15.20,15.20,15.20,14.40
22,PC accessory,301,"Small IT (f.i. routers, mice, keyboards, external drives & accessories)",0.60,0.60,0.90,0.30,0.40,0.30
23,Portable radio,402,"Portable Audio & Video (f.i. MP3, e-readers, car navigation)",0.30,0.30,0.30,0.20,0.20,0.20
24,Power tool,601,"Household Tools (f.i. drills, saws, high pressure cleaners, lawn mowers)",16.70,15.90,15.20,15.20,15.20,14.40
25,Printer/scanner,304,"Printers (f.i. scanners, multifunctionals, faxes)",7.80,8.30,9.10,10.30,10.30,10.00
26,Projector,201,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",0.80,0.90,0.80,0.80,0.90,0.80
27,Sewing machine,601,"Household Tools (f.i. drills, saws, high pressure cleaners, lawn mowers)",16.70,15.90,15.20,15.20,15.20,14.40
28,Small home electrical,201,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",0.80,0.90,0.80,0.80,0.90,0.80
29,Small kitchen item,202,"Food (f.i. toaster, grills, food processing, frying pans)",3.10,5.00,4.50,3.00,2.70,2.60
30,Tablet,303,Laptops (incl. tablets),4.90,4.30,3.70,3.20,3.20,3.00
31,Toaster,202,"Food (f.i. toaster, grills, food processing, frying pans)",3.10,5.00,4.50,3.00,2.70,2.60
32,Toy,701,"Toys (f.i. car racing sets, electric trains, music toys, biking computers)",0.50,0.50,0.50,0.50,0.50,0.50
33,TV and gaming-related accessories,404,"Video (f.i. Video recorders, DVD, Blue Ray, set-top boxes)",4.90,4.20,4.00,2.60,2.90,2.70
34,Vacuum,204,Vacuum Cleaners (excl. professional),5.30,55.50,55.50,59.90,59.90,58.80
35,Watch/clock,201,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",0.80,0.90,0.80,0.80,0.90,0.80
36,Coffee maker,203,"Hot Water (f.i. coffee, tea, water cookers)",1.80,2.70,1.30,2.80,2.90,2.80
37,Food processor,202,"Food (f.i. toaster, grills, food processing, frying pans)",3.10,5.00,4.50,3.00,2.70,2.60
38,Games console,702,Game Consoles,2.40,2.10,2.00,2.00,2.00,1.90
39,Hair dryer,205,"Personal Care (f.i. tooth brushes, hair dryers, razors)",0.70,0.60,0.50,0.50,0.50,0.50
40,Iron,201,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",0.80,0.90,0.80,0.80,0.90,0.80
