year,source,target,material,value,data_source_id,product
2014,hdpe,Placed on the market,HDPE,631741.6624257845,0047_0038,Packaging
2014,ldpe,Placed on the market,LDPE,365299.20271416457,0047_0038,Packaging
2014,other,Placed on the market,Other,19771.348600508907,0047_0038,Packaging
2014,pe,Placed on the market,PE,110154.65648854962,0047_0038,Packaging
2014,pet,Placed on the market,PET,642098.0831212894,0047_0038,Packaging
2014,pp,Placed on the market,PP,368123.68108566577,0047_0038,Packaging
2014,ps,Placed on the market,PS,59314.04580152672,0047_0038,Packaging
2014,pvc,Placed on the market,PVC,23537.3197625106,0047_0038,Packaging
2015,hdpe,Placed on the market,HDPE,643112.8074639526,0047_0038,Packaging
2015,ldpe,Placed on the market,LDPE,371874.4698897371,0047_0038,Packaging
2015,other,Placed on the market,Other,20127.22646310433,0047_0038,Packaging
2015,pe,Placed on the market,PE,112137.40458015267,0047_0038,Packaging
2015,pet,Placed on the market,PET,653655.6403731976,0047_0038,Packaging
2015,pp,Placed on the market,PP,374749.78795589483,0047_0038,Packaging
2015,ps,Placed on the market,PS,60381.67938931297,0047_0038,Packaging
2015,pvc,Placed on the market,PVC,23960.983884648005,0047_0038,Packaging
2016,hdpe,Placed on the market,HDPE,643112.8074639526,0047_0038,Packaging
2016,ldpe,Placed on the market,LDPE,371874.4698897371,0047_0038,Packaging
2016,other,Placed on the market,Other,20127.22646310433,0047_0038,Packaging
2016,pe,Placed on the market,PE,112137.40458015267,0047_0038,Packaging
2016,pet,Placed on the market,PET,653655.6403731976,0047_0038,Packaging
2016,pp,Placed on the market,PP,374749.78795589483,0047_0038,Packaging
2016,ps,Placed on the market,PS,60381.67938931297,0047_0038,Packaging
2016,pvc,Placed on the market,PVC,23960.983884648005,0047_0038,Packaging
2017,hdpe,Placed on the market,HDPE,643112.8074639526,0047_0038,Packaging
2017,ldpe,Placed on the market,LDPE,371874.4698897371,0047_0038,Packaging
2017,other,Placed on the market,Other,20127.22646310433,0047_0038,Packaging
2017,pe,Placed on the market,PE,112137.40458015267,0047_0038,Packaging
2017,pet,Placed on the market,PET,653655.6403731976,0047_0038,Packaging
2017,pp,Placed on the market,PP,374749.78795589483,0047_0038,Packaging
2017,ps,Placed on the market,PS,60381.67938931297,0047_0038,Packaging
2017,pvc,Placed on the market,PVC,23960.983884648005,0047_0038,Packaging
2018,hdpe,Placed on the market,HDPE,658091.9070167886,0047_0038,Packaging
2018,ldpe,Placed on the market,LDPE,376560.6973740852,0047_0038,Packaging
2018,other,Placed on the market,Other,40654.32630219543,0047_0038,Packaging
2018,pe,Placed on the market,PE,118913.90443392166,0047_0038,Packaging
2018,pet,Placed on the market,PET,707385.2776582006,0047_0038,Packaging
2018,pp,Placed on the market,PP,381134.30908308225,0047_0038,Packaging
2018,ps,Placed on the market,PS,61489.6685320706,0047_0038,Packaging
2018,pvc,Placed on the market,PVC,16769.909599655617,0047_0038,Packaging
2019,hdpe,Placed on the market,HDPE,674181.8181818181,0047_0038,Packaging
2019,ldpe,Placed on the market,LDPE,381388.1118881119,0047_0038,Packaging
2019,other,Placed on the market,Other,63744.755244755244,0047_0038,Packaging
2019,pe,Placed on the market,PE,126409.09090909091,0047_0038,Packaging
2019,pet,Placed on the market,PET,767097.9020979021,0047_0038,Packaging
2019,pp,Placed on the market,PP,387870.6293706293,0047_0038,Packaging
2019,ps,Placed on the market,PS,62664.33566433566,0047_0038,Packaging
2019,pvc,Placed on the market,PVC,8643.356643356643,0047_0038,Packaging
2020,hdpe,Placed on the market,HDPE,648775.7914355447,0047_0038,Packaging
2020,ldpe,Placed on the market,LDPE,381307.747947637,0047_0038,Packaging
2020,other,Placed on the market,Other,55261.99245617927,0047_0038,Packaging
2020,pe,Placed on the market,PE,145891.66008431328,0047_0038,Packaging
2020,pet,Placed on the market,PET,748247.3778566674,0047_0038,Packaging
2020,pp,Placed on the market,PP,443201.1794985578,0047_0038,Packaging
2020,ps,Placed on the market,PS,57472.47215442645,0047_0038,Packaging
2020,pvc,Placed on the market,PVC,10499.77856667406,0047_0038,Packaging
2021,hdpe,Placed on the market,HDPE,623207.751239297,0047_0038,Packaging
2021,ldpe,Placed on the market,LDPE,381856.3857593511,0047_0038,Packaging
2021,other,Placed on the market,Other,46457.30509238396,0047_0038,Packaging
2021,pe,Placed on the market,PE,166566.43533123028,0047_0038,Packaging
2021,pet,Placed on the market,PET,729719.621451104,0047_0038,Packaging
2021,pp,Placed on the market,PP,501965.5159981974,0047_0038,Packaging
2021,ps,Placed on the market,PS,52122.830103650296,0047_0038,Packaging
2021,pvc,Placed on the market,PVC,12464.15502478594,0047_0038,Packaging
2022,hdpe,Placed on the market,HDPE,443390.19702066306,0047_0038,Packaging
2022,ldpe,Placed on the market,LDPE,335509.3704949544,0047_0038,Packaging
2022,other,Placed on the market,Other,105723.20999519463,0047_0038,Packaging
2022,pe,Placed on the market,PE,162900.04805382027,0047_0038,Packaging
2022,pet,Placed on the market,PET,744377.7030273906,0047_0038,Packaging
2022,pp,Placed on the market,PP,392686.20855358004,0047_0038,Packaging
2022,ps,Placed on the market,PS,50703.98846708314,0047_0038,Packaging
2022,pvc,Placed on the market,PVC,9709.274387313792,0047_0038,Packaging
2023,hdpe,Placed on the market,HDPE,446155.2138395002,0047_0038,Packaging
2023,ldpe,Placed on the market,LDPE,337601.63382988947,0047_0038,Packaging
2023,other,Placed on the market,Other,106382.50840941854,0047_0038,Packaging
2023,pe,Placed on the market,PE,163915.90581451225,0047_0038,Packaging
2023,pet,Placed on the market,PET,749019.7020663143,0047_0038,Packaging
2023,pp,Placed on the market,PP,395135.03123498324,0047_0038,Packaging
2023,ps,Placed on the market,PS,51020.18260451706,0047_0038,Packaging
2023,pvc,Placed on the market,PVC,9769.822200864968,0047_0038,Packaging
2014,Placed on the market,Consumer,HDPE,396368.46480067854,0047_0038,Packaging
2014,Placed on the market,Consumer,LDPE,134633.46904156066,0047_0038,Packaging
2014,Placed on the market,Consumer,Other,17888.36301950806,0047_0038,Packaging
2014,Placed on the market,Consumer,PE,25420.30534351145,0047_0038,Packaging
2014,Placed on the market,Consumer,PET,536650.8905852418,0047_0038,Packaging
