unu_key,year,value
0001,2008,1203237
0001,2009,1119495
0001,2010,1152694
0001,2011,1149525
0001,2012,1080085
0001,2013,1258560
0001,2014,1339543
0001,2015,1346114
0001,2016,1363105
0001,2017,1565868
0001,2018,1831191
0001,2019,1692740
0001,2020,1695917
0001,2021,1921360
0001,2022,1863136
0001,2023,1648433
0002,2008,1492798
0002,2009,1500824
0002,2010,2116360
0002,2011,2565063
0002,2013,2229359
0002,2014,530720
0002,2015,353227
0002,2016,483540
0002,2017,193255
0002,2018,161224
0002,2019,239439
0002,2020,208999
0002,2021,283312
0002,2022,241388
0002,2023,277065
0101,2008,51250
0101,2009,21090
0101,2010,2289.4268103146505
0101,2011,6809.8837047365105
0101,2012,2820.2155751684795
0101,2013,6773.5932940552
0101,2014,5784.928654827509
0101,2015,8522.459019777003
0101,2016,6976.297770971852
0101,2017,5665.160337505665
0101,2018,2968.603032176503
0101,2019,4877.8581415760955
0101,2020,758.9676869153996
0101,2021,2873.072392291249
0101,2022,6292.878227613225
0101,2023,2401.449757789751
0102,2008,2246.5923400850847
0102,2009,8030
0102,2010,9177
0102,2011,11264
0102,2012,11398
0102,2013,12657
0102,2014,19087
0102,2015,4113.70540621568
0102,2016,48666.340927800426
0102,2017,13063
0102,2018,14021
0102,2019,13170.289151991103
0102,2020,13590
0102,2021,12045
0102,2022,12884.071733500004
0102,2023,5786.533123896705
0103,2008,741939
0103,2009,32303.25165050039
0103,2010,36907.725768770404
0103,2011,34840.62395773788
0103,2012,41043.476333257175
0103,2013,53234.25277157709
0103,2014,53324.65221934676
0103,2015,108650.85456460537
0103,2016,58090.105033377724
0103,2017,69805.97971993373
0103,2018,228942.79027455937
0103,2019,167487.8868567763
0103,2020,158332.99073823713
0103,2021,54183.61442967571
0103,2022,226767.83654336285
0103,2023,251727.98513939246
0104,2008,2538108
0104,2009,2244032
0104,2010,1713702.197469091
0104,2011,1778455.0690821442
0104,2012,847666.9300439273
0104,2013,2626279.653990838
0104,2014,1728095.1592407231
0104,2015,1315292.8978446333
0104,2016,1579108.2207644396
0104,2017,999401.5702415186
0104,2018,201725
0104,2019,202101
0104,2020,79830
0104,2021,64876.52248737989
0104,2022,284696.5057341982
0104,2023,239646.29736105693
0105,2008,0
0105,2009,0
0105,2010,0
0105,2011,0
0105,2012,0
0105,2013,0
0105,2014,0
0105,2015,0
0105,2016,0
0105,2017,0
0105,2018,0
0105,2019,0
0105,2020,0
0105,2021,0
0105,2022,0
0105,2023,0
0106,2008,2774576.63939696
0106,2009,1749149
0106,2010,1825940
0106,2011,1257454
0106,2012,963370.4313513159
0106,2013,1094971.2343556879
0106,2014,1018316.9369600164
0106,2015,1176556
0106,2016,1216854
0106,2017,1159620
0106,2018,1623271
0106,2019,2102243
0106,2020,1616099.096777958
0106,2021,2057735.7958853936
0106,2022,1284519.1290747053
0106,2023,1126459.0902570586
0108,2008,0
0108,2009,0
0108,2010,0
0108,2011,0
0108,2012,0
0108,2013,0
0108,2014,0
0108,2015,0
0108,2016,0
0108,2017,0
0108,2018,0
0108,2019,0
0108,2020,0
0108,2021,0
0108,2022,0
0108,2023,0
0109,2008,15.041430213052104
0109,2009,67.88903097411533
0109,2010,7.168746698092237
0109,2011,4.087773445319043
0109,2012,2.117103208624451
0109,2013,0
0109,2014,3.854304008145736
0109,2015,2.9151335014309447
0109,2016,4.914031780907197
0109,2017,5.586800133870078
0109,2018,266
0109,2019,4.93579089721806
0109,2020,0
0109,2021,0
0109,2022,0
0109,2023,0
0111,2008,364535
0111,2009,310443
0111,2010,321709.7647606628
0111,2011,249890
0111,2012,236584
0111,2013,245865
0111,2014,312167
0111,2015,302735
0111,2016,318886
0111,2017,26757
0111,2018,342337
0111,2019,343946
0111,2020,340308
0111,2021,351678
0111,2022,386139
0111,2023,318307
0112,2008,197595
0112,2009,117805
0112,2010,348651
0112,2011,391521
0112,2012,131541
0112,2013,160645
0112,2014,166269
0112,2015,140024
0112,2016,144883
0112,2017,155020
0112,2018,147374
0112,2019,191804
0112,2020,150986
0112,2021,199135
0112,2022,167265
0112,2023,165248
0113,2008,64186
0113,2009,56695
0113,2010,105056
0113,2011,104897
0113,2012,89036
0113,2013,91430
0113,2014,102115
0113,2015,97804
0113,2016,108643
0113,2017,101138
0113,2018,149784
0113,2019,117735
0113,2020,89256
0113,2021,114687
0113,2022,129184.20812549407
0113,2023,148194
0114,2008,1000369
0114,2009,303197.53000446735
0114,2010,354443.64586462534
0114,2011,340185.883027302
0114,2012,339078.93524845643
0114,2013,471558.0322520039
0114,2014,468951
0114,2015,354895
0114,2016,359158
0114,2017,629493.4850965922
0114,2018,520201
0114,2019,880052
0114,2020,876814
0114,2021,765609
0114,2022,685821
0114,2023,783182
0201,2008,2982720.440287964
0201,2009,2864763
0201,2010,2736167
0201,2011,2543148
0201,2012,2737571
0201,2013,3039074
0201,2014,3372922
0201,2015,3419631
0201,2016,4106816
0201,2017,18740850
0201,2018,7870717
0201,2019,819123.2903238458
0201,2020,892659
0201,2021,398005.8009396524
0201,2022,417503.9275809044
0201,2023,565912.4788943074
0202,2008,387546
0202,2009,175235.11134119701
0202,2010,169428.25361577957
0202,2011,363718.71911162074
0202,2012,166827.70804473822
0202,2013,107918.03988464591
0202,2014,318893
0202,2015,418933
0202,2016,100749
0202,2017,102700
0202,2018,91162
0202,2019,148236
0202,2020,115447
0202,2021,187899
0202,2022,85706.62284127969
0202,2023,65136.77919157536
0203,2008,1155495
0203,2009,1252517
0203,2010,784108
0203,2011,1267354
0203,2012,1230003
0203,2013,1532230
0203,2014,1448454
0203,2015,1454572
0203,2016,1375755
0203,2017,1406938
0203,2018,1403761.1951523188
0203,2019,1136251
0203,2020,1061273
0203,2021,1269277.0348220952
0203,2022,1134932.0655737682
0203,2023,1821764
0204,2008,830740.1600076938
0204,2009,0
0204,2010,135089.89726408565
0204,2011,151705.01776262774
0204,2012,149426.18090102886
0204,2013,184695.75009374382
0204,2014,275214.7366298508
0204,2015,335333.8785330587
0204,2016,311857.74473965965
0204,2017,279764.40235221904
0204,2018,2451594.531591566
0204,2019,303011.3046647871
0204,2020,288836.8183614446
0204,2021,203714.35188918424
0204,2022,276261.22451606666
0204,2023,200196.57299429888
0205,2008,351470
0205,2009,133726.1930751083
0205,2010,19182.502374030722
0205,2011,42816.61808803771
0205,2012,48301.80848560382
0205,2013,38175.518863089914
0205,2014,70366.35009825943
0205,2015,122140
0205,2016,180086
0205,2017,176271
0205,2018,154511
0205,2019,111565.91430855455
0205,2020,197556
0205,2021,298394
0205,2022,262153.6967532666
0205,2023,352807.16606889333
0301,2008,336625
0301,2009,393025
0301,2010,225983
0301,2011,440977.3681102209
0301,2012,484992.0993681924
0301,2013,528263.84080802
0301,2014,540252.492745085
0301,2015,508027.5273904807
0301,2016,569570.7758405592
0301,2017,800477.2274864315
0301,2018,1535829.4019799363
0301,2019,1833915.6263710796
0301,2020,1472136.4192019838
0301,2021,1583460.103032755
0301,2022,2107214
0301,2023,2019296
0302,2008,440348
0302,2009,415391
0302,2010,401732
0302,2011,243059.8110608108
0302,2012,231555.45236918842
0302,2013,255736
0302,2014,285785.2284976798
0302,2015,329844.6770128575
0302,2016,404138
0302,2017,329132.0278136473
0302,2018,287351.5619699278
0302,2019,493149
0302,2020,316482.72520941496
0302,2021,373252.1097148136
0302,2022,334283.107506083
0302,2023,352852.1936226919
0303,2008,85156
0303,2009,76937
0303,2010,79354
0303,2011,80202
0303,2012,97339
0303,2013,103986
0303,2014,94176
0303,2015,103153
0303,2016,102101
0303,2017,135480
0303,2018,151887
0303,2019,161112
0303,2020,263513
0303,2021,440398
0303,2022,246979
0303,2023,161408
0304,2008,1024341
0304,2009,383886
0304,2010,160252
0304,2011,390872.5005316047
0304,2012,175191
0304,2013,217677.65709371184
0304,2014,189740
0304,2015,153271
0304,2016,218302.83642212022
0304,2017,235018
0304,2018,291955.9413427295
0304,2019,253166.99211317924
0304,2020,111706.40666949697
0304,2021,122041
0304,2022,168337
0304,2023,208584.14897159577
0305,2008,1595088.1424614408
0305,2009,988189.2916666833
0305,2010,1525533.73402531
0305,2011,1545638.7770629385
0305,2012,1515025.6345516918
0305,2013,1583680.6264423826
0305,2014,1630545.3394995453
0305,2015,1395637.3971052794
