ref_year,unu_key,flow_desc,cmd_code,qty
2000,0001,Export,840310,2130
2000,0101,Export,845130,58867
2000,0101,Import,845110,318
2000,0101,Import,845130,138298
2000,0102,Export,842211,65562
2000,0102,Export,842219,10007
2000,0102,Import,842211,956534
2000,0102,Import,842219,32253
2000,0103,Export,851660,380556
2000,0103,Import,851660,3801756
2000,0104,Export,845011,150765
2000,0104,Export,845012,710
2000,0104,Export,845019,7848
2000,0104,Export,845020,197
2000,0104,Import,845011,1702262
2000,0104,Import,845012,94189
2000,0104,Import,845019,11464
2000,0104,Import,845020,15122
2000,0105,Export,842112,46424
2000,0105,Export,845121,222735
2000,0105,Export,845129,1522
2000,0105,Import,842112,117058
2000,0105,Import,845121,193645
2000,0106,Export,841460,25496
2000,0106,Export,851621,172523
2000,0106,Export,851629,814623
2000,0106,Import,841460,1024601
2000,0106,Import,851621,115778
2000,0106,Import,851629,1614472
2000,0108,Export,841810,188130
2000,0108,Export,841821,123922
2000,0108,Export,841822,3135
2000,0108,Export,841829,69318
2000,0108,Import,841810,854328
2000,0108,Import,841821,1044854
2000,0108,Import,841822,27741
2000,0108,Import,841829,304930
2000,0109,Export,841830,82217
2000,0109,Export,841840,19601
2000,0109,Import,841830,269775
2000,0109,Import,841840,539308
2000,0111,Export,841510,76718
2000,0111,Import,841510,95216
2000,0112,Import,841861,23778
2000,0113,Export,841583,179123
2000,0113,Export,841850,93006
2000,0113,Import,841850,278970
2000,0114,Export,851650,3654457
2000,0114,Import,851650,2557388
2000,0201,Export,630110,543537
2000,0201,Export,841451,698305
2000,0201,Export,845210,78586
2000,0201,Export,850930,9174
2000,0201,Export,850980,1027716
2000,0201,Export,851640,366582
2000,0201,Export,910111,275897
2000,0201,Export,910112,20975
2000,0201,Export,910119,22915
2000,0201,Export,910191,3285
2000,0201,Export,910211,2625009
2000,0201,Export,910212,817844
2000,0201,Export,910219,211872
2000,0201,Export,910291,985580
2000,0201,Export,910310,573667
2000,0201,Export,910390,97965
2000,0201,Export,910511,411616
2000,0201,Export,910521,278051
2000,0201,Export,910591,81886
2000,0201,Export,910599,152588
2000,0201,Export,910700,403538
2000,0201,Export,910811,6405
2000,0201,Export,910812,615
2000,0201,Export,910819,15624
2000,0201,Export,910911,9104
2000,0201,Export,910919,2081
2000,0201,Import,630110,63940
2000,0201,Import,841451,4515291
2000,0201,Import,845210,456012
2000,0201,Import,850930,41255
2000,0201,Import,850980,4628368
2000,0201,Import,851640,5977124
2000,0201,Import,910111,1291695
2000,0201,Import,910112,60875
2000,0201,Import,910119,336055
2000,0201,Import,910191,153209
2000,0201,Import,910211,18368691
2000,0201,Import,910212,10161975
2000,0201,Import,910219,3280463
2000,0201,Import,910291,962703
2000,0201,Import,910310,623695
2000,0201,Import,910390,601734
2000,0201,Import,910511,7144317
2000,0201,Import,910521,2840183
2000,0201,Import,910591,3437198
2000,0201,Import,910599,5123544
2000,0201,Import,910700,3312204
2000,0201,Import,910811,3705009
2000,0201,Import,910812,25301
2000,0201,Import,910819,35772
2000,0201,Import,910911,144431
2000,0201,Import,910919,206480
2000,0202,Export,850940,360412
2000,0202,Export,851672,356230
2000,0202,Export,851679,11118168
2000,0202,Import,850940,3683716
