year,unu_key,value
2000,0101,79749
2000,0102,913218
2000,0103,9416787
2000,0104,1663517
2000,0105,40022
2000,0106,5748366
2000,0108,1847348
2000,0109,707265
2000,0111,18498
2000,0113,6841
2000,0114,2980015
2000,0201,67777107
2000,0202,20362131
2000,0203,2481760
2000,0204,7042944
2000,0205,17878530
2000,0301,60473844
2000,0302,-785791
2000,0303,2950981
2000,0304,520206
2000,0305,4799970
2000,0306,-204534
2000,0307,1420535
2000,0308,727038
2000,0309,3379381
2000,0401,-1439933
2000,0402,24868657
2000,0403,17821103
2000,0404,3281033
2000,0405,12894807
2000,0406,10074450
2000,0407,193487
2000,0408,10171777
2000,0501,2144241
2000,0502,65760883
2000,0503,3190861
2000,0504,15274963
2000,0601,23947615
2000,0602,5156700
2000,0801,292166
2000,0802,12160
2000,0901,90198053
2000,0902,1274506
2000,1001,642332
2000,1002,24424
2000,0112,211405.91600000003
2000,0701,58495326
2000,0703,11510
2000,0505,83340788.218
2000,0310,-20219
2000,3001,760334
2001,0101,105329
2001,0102,1177011
2001,0103,9416787
2001,0104,1847866
2001,0105,113978
2001,0106,5748366
2001,0108,2134617
2001,0109,789997
2001,0111,155665
2001,0113,173192
2001,0114,2980015
2001,0201,68432711
2001,0202,20362131
2001,0203,3991851.5
2001,0204,7042944
2001,0205,18783725
2001,0301,60473844
2001,0302,-1037884
2001,0303,2483479
2001,0304,987163
2001,0305,6543059.5
2001,0306,-204534
2001,0307,1287017
2001,0308,727038
2001,0309,3379381
2001,0401,17541882
2001,0402,22831565
2001,0403,18328671
2001,0404,6767018
2001,0405,11668345.2
2001,0406,10074450
2001,0407,356659
2001,0408,10171777
2001,0501,4101344
2001,0502,60254741
2001,0503,3190861
2001,0504,21468451
2001,0601,23947615
2001,0602,5156700
2001,0801,2295861
2001,0802,295270
2001,0901,90198053
2001,0902,1274506
2001,1001,434184.5
2001,1002,24424
2001,0112,211405.91600000003
2001,0701,58495326
2001,0703,11510
2001,0505,83340788.218
2001,0310,-20219
2001,3001,760334
2002,0101,21792
2002,0102,1138076
2002,0103,9416787
2002,0104,1839091
2002,0105,91188
2002,0106,5748366
2002,0108,2270236.5
2002,0109,761466
2002,0111,-6164
