unu,year,value,variable,unit
0101,2000,9937.52289,inflow,mass
0102,2000,43487.441159999995,inflow,mass
0103,2000,351340.32297000004,inflow,mass
0104,2000,116878.70442,inflow,mass
0105,2000,1619.6903399999999,inflow,mass
0106,2000,69785.16324000001,inflow,mass
0108,2000,65839.48272,inflow,mass
0109,2000,30928.69845,inflow,mass
0111,2000,493.8966,inflow,mass
0113,2000,492.552,inflow,mass
0114,2000,54266.073150000004,inflow,mass
0201,2000,82010.29947,inflow,mass
0202,2000,34615.62269999999,inflow,mass
0203,2000,4218.992,inflow,mass
0204,2000,36341.59104,inflow,mass
0205,2000,9833.1915,inflow,mass
0301,2000,34470.09108,inflow,mass
0302,2000,-7755.757169999999,inflow,mass
0303,2000,11243.23761,inflow,mass
0304,2000,4130.43564,inflow,mass
0305,2000,3407.9786999999997,inflow,mass
0306,2000,-22.49874,inflow,mass
0307,2000,56821.4,inflow,mass
0308,2000,12148.80498,inflow,mass
0309,2000,17370.01834,inflow,mass
0401,2000,-561.5738699999999,inflow,mass
0402,2000,8704.02995,inflow,mass
0403,2000,71819.04509,inflow,mass
0404,2000,9514.9957,inflow,mass
0405,2000,35460.71925,inflow,mass
0406,2000,7958.8155,inflow,mass
0407,2000,5289.93458,inflow,mass
0408,2000,93580.34839999999,inflow,mass
0501,2000,192.98169000000001,inflow,mass
0502,2000,4866.305342000001,inflow,mass
0503,2000,478.62915,inflow,mass
0504,2000,1588.596152,inflow,mass
0601,2000,61305.8944,inflow,mass
0602,2000,119480.73900000002,inflow,mass
0801,2000,52.58988,inflow,mass
0802,2000,815.2064,inflow,mass
0901,2000,21647.53272,inflow,mass
0902,2000,7022.52806,inflow,mass
1001,2000,28262.608,inflow,mass
1002,2000,2252.3812799999996,inflow,mass
0112,2000,8815.626697200003,inflow,mass
0701,2000,26322.896699999998,inflow,mass
0703,2000,84.8287,inflow,mass
0505,2000,5917.195963477999,inflow,mass
0310,2000,NA,inflow,mass
3001,2000,NA,inflow,mass
0101,2001,13125.04669,inflow,mass
0102,2001,55531.378979999994,inflow,mass
0103,2001,351340.32297000004,inflow,mass
0104,2001,130256.07433999999,inflow,mass
0105,2001,4675.377560000001,inflow,mass
0106,2001,69785.16324000001,inflow,mass
0108,2001,77187.75072,inflow,mass
0109,2001,34570.26872,inflow,mass
0111,2001,4156.2555,inflow,mass
0113,2001,12469.824,inflow,mass
0114,2001,55666.680199999995,inflow,mass
0201,2001,80750.59898,inflow,mass
0202,2001,34615.62269999999,inflow,mass
0203,2001,6786.14755,inflow,mass
0204,2001,36834.597120000006,inflow,mass
0205,2001,10331.04875,inflow,mass
0301,2001,33865.35264,inflow,mass
0302,2001,-10129.74784,inflow,mass
0303,2001,9164.03751,inflow,mass
0304,2001,8074.99334,inflow,mass
0305,2001,4449.28046,inflow,mass
0306,2001,-20.453400000000002,inflow,mass
0307,2001,51480.68,inflow,mass
0308,2001,12534.135119999999,inflow,mass
0309,2001,17471.39977,inflow,mass
0401,2001,6841.33398,inflow,mass
