year,variable,value
2001,inflow,679116.004844
2001,outflow,8498.606383697215
2002,inflow,855095.287454
2002,outflow,24717.945581539563
2003,inflow,811781.8145040004
2003,outflow,53286.470701113896
2004,inflow,971907.781917
2004,outflow,90905.50920444145
2005,inflow,1078804.135532
2005,outflow,138719.35751487446
2006,inflow,1239988.0523344285
2006,outflow,195772.97672430385
2007,inflow,1265294.1104346234
2007,outflow,256210.35569345107
2008,inflow,3187155.6436934383
2008,outflow,328064.94882493507
2009,inflow,2601001.0200890843
2009,outflow,414935.70491996163
2010,inflow,1894361.4282535508
2010,outflow,510881.4346028963
2011,inflow,1806191.8351603143
2011,outflow,611941.3161581274
2012,inflow,1785544.1469617183
2012,outflow,716568.627427579
2013,inflow,1960802.1021278892
2013,outflow,823822.1768688353
2014,inflow,2103166.548399006
2014,outflow,933642.4142764477
2015,inflow,2146779.1676742346
2015,outflow,1042069.4030184806
2016,inflow,2575331.0796977957
2016,outflow,1153792.1996851126
2017,inflow,2615677.13737233
2017,outflow,1266597.2125628048
2018,inflow,2252587.7464137
2018,outflow,1377238.518521297
2019,inflow,2101156.664108513
2019,outflow,1478878.2540884907
2020,inflow,2130173.459014063
2020,outflow,1571485.5307932592
2021,inflow,2697336.7819621284
2021,outflow,1657089.3853526053
2022,inflow,1449138.231527137
2022,outflow,1261481.1502589646
