Cn8,Hs2,Hs4,Hs6,Description,Year,Value,NetMass,SuppUnit,FlowType,Country
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,1430,20,2,"EU Imports","France"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,103,4,4,"EU Exports","France"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,14,1,1,"EU Imports","Netherlands"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,314,159,121,"EU Exports","Netherlands"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,74004,8041,4520,"EU Imports","Germany"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,184,44,65,"EU Exports","Germany"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,82838,271,46,"EU Imports","Italy"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,60158,5513,2938,"EU Imports","Ireland"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,1232381,130256,90583,"EU Exports","Ireland"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,20605,130,44,"EU Imports","Denmark"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,28,8,2,"EU Exports","Denmark"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,3025,693,384,"EU Exports","Greece"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,641,208,150,"EU Exports","Spain"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,732,3,4,"EU Imports","Belgium"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,217,5,6,"EU Exports","Belgium"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,3,1,2,"EU Imports","Sweden"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,942,131,59,"EU Exports","Sweden"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,2192,94,65,"EU Imports","Finland"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,13620,265,569,"Non-EU Exports","Switzerland"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,523,72,51,"EU Exports","Malta"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,47986,7005,16988,"Non-EU Imports","Turkey"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,2306,1353,347,"Non-EU Exports","Turkey"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,10,4,7,"EU Exports","Lithuania"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,1539,1749,1136,"EU Exports","Poland"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,9291,9080,7419,"EU Exports","Czechia"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,46510,4502,1986,"EU Imports","Hungary"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,298,110,83,"EU Exports","Hungary"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,224,160,109,"EU Exports","Romania"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,2,3,2,"EU Exports","Bulgaria"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,320,1500,1,"Non-EU Exports","Sierra Leone"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,3794,4400,685,"Non-EU Exports","Ghana"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,500,20000,10000,"Non-EU Exports","Somalia"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,227628,4797,4875,"Non-EU Imports","Kenya"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,500,7500,1,"Non-EU Exports","Tanzania"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,1017,4,4,"Non-EU Exports","South Africa"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,12461,122,167,"Non-EU Imports","United States"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,251373,62568,16202,"Non-EU Exports","United States"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,4756,679,863,"Non-EU Exports","Canada"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,1526,42,1,"Non-EU Imports","Peru"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,7080,391,543,"EU Exports","Cyprus"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,2453,60,2,"Non-EU Exports","Israel"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,9630,68,39,"Non-EU Exports","Saudi Arabia"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,4845,5,6,"Non-EU Exports","Kuwait"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,1935,110,10,"Non-EU Exports","Bahrain"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,3135,1,1,"Non-EU Exports","Qatar"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,6644,53,1051,"Non-EU Exports","UAE"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,1716,319,270,"Non-EU Imports","Pakistan"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,8698,50,7,"Non-EU Exports","India"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,1260,26,350,"Non-EU Exports","Vietnam"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,1633,38,3,"Non-EU Exports","Singapore"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,8753736,1837110,958095,"Non-EU Imports","China"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,45584,6755,2800,"Non-EU Imports","South Korea"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,1096,15,38,"Non-EU Imports","Japan"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,16644,835,101,"Non-EU Exports","Japan"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,1241276,209152,107450,"Non-EU Imports","Taiwan"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,44792,9394,8074,"Non-EU Imports","Hong Kong"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,5125,1,5,"Non-EU Exports","Hong Kong"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,6956,20,48,"Non-EU Exports","Macao"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2014,60432,2960,318,"Non-EU Exports","Australia"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2014,2819212,583126,0,"EU Imports","France"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2014,671988,22710,0,"EU Exports","France"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2014,7655843,734106,0,"EU Imports","Netherlands"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2014,219797,4684,0,"EU Exports","Netherlands"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2014,9212329,1081422,0,"EU Imports","Germany"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2014,1867618,16116,0,"EU Exports","Germany"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2014,824312,233897,0,"EU Imports","Italy"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2014,623872,37110,0,"EU Exports","Italy"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2014,1434508,434506,0,"EU Imports","Ireland"
