Cn8,Hs2,Hs4,Hs6,Description,Year,FlowType,Country,Value,NetMass,SuppUnit
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2019,"EU Imports","France",5589,227,239
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2019,"EU Exports","France",17040,1705,718
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2019,"EU Imports","Netherlands",3756,861,1020
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2019,"EU Exports","Netherlands",976,70,34
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2019,"EU Imports","Germany",109049,10805,6590
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2019,"EU Exports","Germany",11803,1702,639
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2019,"EU Imports","Italy",4110,314,308
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2019,"EU Exports","Italy",2288,239,134
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2019,"EU Imports","Ireland",113173,6394,4072
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2019,"EU Exports","Ireland",773986,66785,43518
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2019,"EU Imports","Denmark",4108,120,6
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2019,"EU Exports","Denmark",386,41,21
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2019,"EU Exports","Greece",145,15,7
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2019,"EU Imports","Portugal",76,4,1
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2019,"EU Exports","Portugal",2331,277,101
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2019,"EU Imports","Spain",2212,109,96
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2019,"EU Exports","Spain",8889,939,539
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2019,"EU Exports","Belgium",1269,80,131
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2019,"EU Exports","Luxembourg",317,30,17
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2019,"Non-EU Exports","Iceland",1057,42,1
