no.,agency,accreditation_number,material_process,size*,accredited_organisation,reg._no.,status,active_date,last_changed,site_address,classification_of_operation
"1","EA","ER242019174","Aluminium","S","Avon Metals Limited","4135396","Active","21/03/2024","21/03/2024","Ashville Road GLOUCESTER Gloucestershire GL2 5DA","R4 Recycling/reclamation of metals and metal compounds"
"2","EA","ER242024102","Aluminium","L","Donald Ward Ltd","1292288","Active","01/01/2024","01/01/2024","Griffon Road ILKESTON Derbyshire DE7 4RF","R4 Recycling/reclamation of metals and metal compounds"
"3","EA","ER242024119","Aluminium","L","Eco-Power Environmental Limited","08593843","Active","12/01/2024","12/01/2024","Eco Power Environmental Ltd. DONCASTER South Yorkshire DN11 0PS","R4 Recycling/reclamation of metals and metal compounds"
"4","EA","ER242014105","Aluminium","L","JBMI Group Ltd","07176945","Active","08/02/2024","08/02/2024","JBM Group Ltd STAFFORD Staffordshire ST18 0PY","R4 Recycling/reclamation of metals and metal compounds"
"5","EA","ER242019142","Aluminium","S","Mil-Ver Metal Co Ltd","1634739","Active","01/01/2024","01/01/2024","Coronel Ave COVENTRY West Midlands CV6 6AP","R4 Recycling/reclamation of metals and metal compounds"
"6","EA","ER24199861","Aluminium","L","Novelis UK Ltd","00279596","Active","01/01/2024","01/01/2024","Latchford Locks Works WARRINGTON Cheshire WA4 1NN","R4 Recycling/reclamation of metals and metal compounds"
"7","EA","ER242024113","Aluminium","L","Scanmetals (UK) Ltd","10484811","Active","01/01/2024","01/01/2024","Scanmetals (UK) Ltd WILLENHALL WV13 2QE","R4 Recycling/reclamation of metals and metal compounds"
"8","EA","ER242009212","Aluminium","L","Tandom Metallurgical Group Ltd","06661279","Active","01/01/2024","01/01/2024","Radnor Park Industrial Estate CONGLETON Cheshire CW12 4XE","R4 Recycling/reclamation of metals and metal compounds"
"9","NRW","WR242024703","Aluminium","L","Donald Ward Limited","01292288","Active","28/03/2024","28/03/2024","Donald Ward Ltd trading as WARD CARDIFF Caerdydd CF10 4RP","R4 Recycling/reclamation of metals and metal compounds"
"10","NRW","WR241998189","Aluminium","L","Swan Alloy UK Ltd","03221771","Active","01/01/2024","01/01/2024","SWAN ALLOY UK LTD. SWANSEA SWANSEA SA5 4SF","R4 Recycling/reclamation of metals and metal compounds"
"11","EA","ER242023165","Glass Other","L","Aquavitrum Ltd","08313370","Active","01/01/2024","01/01/2024","unit 6, Conegar Rd EASTLEIGH Hampshire SO50 6JQ","R5 Recycling/reclamation of other inorganic materials"
"12","EA","ER242019121","Glass Other","L","Brinklow Quarry Ltd","06765411","Active","01/01/2024","22/03/2024","Brinklow Quarry BRINKLOW Warwickshire CV23 0NJ","R5 Recycling/reclamation of other inorganic materials"
"13","EA","ER242024104","Glass Other","L","Bury Skip Hire NW Ltd","07856649","Cancelled","01/01/2024","03/10/2024","Fern Hill Works BURY BL9 5BQ","R5 Recycling/reclamation of other inorganic materials"
"14","EA","ER242024118","Glass Other","L","Eco-Power Environmental Limited","08593843","Active","12/01/2024","12/01/2024","Eco Power Environmental Ltd. DONCASTER South Yorkshire DN11 0PS","R5 Recycling/reclamation of other inorganic materials"
"15","EA","ER242013149","Glass Other","L","Glass Recycling (UK) Ltd","1169515","Active","01/01/2024","01/01/2024","418 carlton road BARNSLEY south yorks S71 3HX","R5 Recycling/reclamation of other inorganic materials"
"16","EA","ER242013153","Glass Other","L","Green Future Recycling Ltd","4505243","Active","01/01/2024","01/01/2024","Old Brickworks Site BLACKPOOL Lancs FY4 5JX","R5 Recycling/reclamation of other inorganic materials"
"17","EA","ER242014131","Glass Other","L","J. A . Jackson Contractors (Preston)
Ltd","0905981","Active","01/01/2024","01/01/2024","BRADLEYS SANDPIT PRESTON LANCS PR4 0AP","R5 Recycling/reclamation of other inorganic materials"
"18","EA","ER242024133","Glass Other","S","MRF Glass Recycling Ltd","7930689","Active","15/05/2024","15/05/2024","Store 20 SCUNTHORPE NorthLincolnshire DN15 8UA","R5 Recycling/reclamation of other inorganic materials"
"19","EA","ER242023188","Glass Other","S","NRS Meriden Aggregates Ltd","11911715","Active","30/01/2024","30/01/2024","Cornets End Recycling Facility MERIDEN Solihull CV7 7LH","R5 Recycling/reclamation of other inorganic materials"
"20","EA","ER242017124","Glass Other","L","NRS Waste Management Services
Ltd","06730643","Active","01/01/2024","01/01/2024","Birmingham Road COVENTRY WARKS CV7 7JS","R5 Recycling/reclamation of other inorganic materials"
"21","EA","ER242023129","Glass Other","L","Prestige Aggregates Ltd
(Armthorpe)","08217871","Active","01/01/2024","01/01/2024","Holme wood lane DONCASTER South yorkshire DN3 3EH","R5 Recycling/reclamation of other inorganic materials"
