no.,agency,accreditation_number,material_process,size*,accredited_organisation,reg._no.,status,active_date,last_changed,type,site_address,classification_of_operation
"1","EA","ER162015146","Aluminium","L","Avon Metals Limited","4135396","Active","07/01/2016","07/01/2016","Accredited Reprocessors","Ashville Road GLOUCESTER Gloucestershire GL2 5DA","R4 Recycling/reclamation of metals and metal compounds"
"2","EA","ER162014105","Aluminium","S","JBMI Group Ltd","07176945","Active","01/01/2016","01/01/2016","Accredited Reprocessors","JBM Group Ltd STAFFORD Staffordshire ST18 0PY","R4 Recycling/reclamation of metals and metal compounds"
"3","EA","ER162015143","Aluminium","S","Norton Aluminium Ltd","4057749","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Norton Aluminium Ltd CANNOCK Staffordshire WS11 9PS","R4 Recycling/reclamation of metals and metal compounds"
"4","EA","ER16199861","Aluminium","L","Novelis UK Ltd","00279596","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Latchford Locks Works WARRINGTON Cheshire WA4 1NN","R4 Recycling/reclamation of metals and metal compounds"
"5","EA","ER162009212","Aluminium","S","Tandom Metallurgical Group Ltd","06661279","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Radnor Park Industrial Estate CONGLETON Cheshire CW12 4XE","R4 Recycling/reclamation of metals and metal compounds"
"6","NRW","WR161998189","Aluminium","L","Swan Alloy UK Ltd","03221771","Active","01/01/2016","01/01/2016","Accredited Reprocessors","SWAN ALLOY UK LTD. SWANSEA SWANSEA SA5 4SF","R4 Recycling/reclamation of metals and metal compounds"
"7","EA","ER162016128","EfW","L","Lakeside Energy From Waste Ltd","3861722","Active","07/03/2016","07/03/2016","Accredited Reprocessors","LAKESIDE ENERGY FROM WASTE LTD COLNBROOK Berkshire SL3 0FE","R1 Use principally as a fuel or other means to generate energy"
"8","EA","ER162016102","EfW","L","South East London Combined Heat
and Power Ltd","03294518","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Veolia SELCHP LONDON London SE14 5RS","R1 Use principally as a fuel or other means to generate energy"
"9","EA","ER162002392","EfW","L","SUEZ Recycling and Recovery
Kirklees Ltd","03497105","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Diamond Street HUDDERSFIELD West Yorkshire HD1 6NT","R1 Use principally as a fuel or other means to generate energy"
"10","EA","ER162015118","EfW","L","SUEZ Recycling and Recovery
Suffolk Ltd","07346155","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Suffolk Energy from Waste Plant GREAT BLAKENHAM Suffolk IP6 0JE","R1 Use principally as a fuel or other means to generate energy"
"11","EA","ER16199866","EfW","L","SUEZ Recycling and Recovery Tees
Valley Ltd","02669578","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Energy from Waste Plant Lines 1 to 5 BILLINGHAM Cleveland TS23 1PY","R1 Use principally as a fuel or other means to generate energy"
"12","EA","ER16199838","EfW","L","Veolia ES Birmingham Ltd","02692681","Active","01/01/2016","01/01/2016","Accredited Reprocessors","James Road BIRMINGHAM B11 2BA","R1 Use principally as a fuel or other means to generate energy"
"13","EA","ER162016108","EfW","L","VEOLIA ES SHEFFIELD LIMITED","03709317","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Bernard Road Service Centre SHEFFIELD South Yorkshire S4 7YX","R1 Use principally as a fuel or other means to generate energy"
"14","EA","ER162016110","EfW","L","Viridor Peterborough Ltd","08254147","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Fourth Drove PETERBOROUGH Cambridgeshire PE1 5UR","R1 Use principally as a fuel or other means to generate energy"
"15","EA","ER162014165","EfW","L","Viridor Waste Management Ltd
(Ardley)","0575069","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Ardley Energy from Waste Facility ARDLEY Oxfordshire OX27 7PH","R1 Use principally as a fuel or other means to generate energy"
"16","NRW","WR162008110","EfW","S","Marlin Industries (Wrexham) Ltd","2831738","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Davy Way WREXHAM WREXHAM LL12 0PG","R1 Use principally as a fuel or other means to generate energy"
"17","NRW","WR162014707","EfW","L","Viridor Resource Management
Limited","0575069","Active","01/01/2016","01/01/2016","Accredited Reprocessors","TRIDENT PARK EfW CARDIFF CF24 5EN","R1 Use principally as a fuel or other means to generate energy"
"18","NIEA","NR162007006","EfW","S","Eglinton (Timber Products) Ltd","NI019444","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Eglinton (Timber Products) Ltd EGLINTON Co Londonderry BT47 3PY","R1 Use principally as a fuel or other means to generate energy"
"19","EA","ER162014107","Glass Other","L","Brinklow Quarry","","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Highwood Farm RUGBY Warwickshire CV23 0NJ","R5 Recycling/reclamation of other inorganic materials"
"20","EA","ER162013135","Glass Other","L","Day Group Ltd","00432417","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Transport Avenue BRENTFORD Middlesex TW8 9HF","R5 Recycling/reclamation of other inorganic materials"
"21","EA","ER162013149","Glass Other","L","Glass Recycling (UK) Ltd","1169515","Active","01/01/2016","01/01/2016","Accredited Reprocessors","418 carlton road BARNSLEY south yorks S71 3HX","R5 Recycling/reclamation of other inorganic materials"
"22","EA","ER162013153","Glass Other","L","Green Future Recycling Ltd","4505243","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Old Brickworks Site BLACKPOOL Lancs FY4 5JX","R5 Recycling/reclamation of other inorganic materials"
"23","EA","ER162014131","Glass Other","L","J. A . Jackson Contractors (Preston)
Ltd","0905981","Active","01/01/2016","01/01/2016","Accredited Reprocessors","BRADLEYS SANDPIT PRESTON LANCS PR4 0AP","R5 Recycling/reclamation of other inorganic materials"
"24","EA","ER162013202","Glass Other","S","MRF Glass Recycling Ltd","7930689","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Store 20 SCUNTHORPE NorthLincolnshire DN15 8UA","R5 Recycling/reclamation of other inorganic materials"
"25","EA","ER162014110","Glass Other","L","Recresco Limited (London)","4066165","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Recresco London SWANSCOMBE Kent DA10 0LL","R5 Recycling/reclamation of other inorganic materials"
"26","EA","ER162013144","Glass Other","L","Recresco Ltd (3)","4066165","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Recresco Ltd KIRKBY-IN-ASHFIELD Nottinghamshire NG17 8AP","R5 Recycling/reclamation of other inorganic materials"
"27","EA","ER162014151","Glass Other","L","Stacey Processing Ltd","4446433","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Ryder Point Works MATLOCK Derbyshire DE4 4HE","R5 Recycling/reclamation of other inorganic materials"
"28","EA","ER162016155","Glass Other","L","Thomas Bros Ltd","04540471","Active","09/09/2016","09/09/2016","Accredited Reprocessors","Cainhoe Quarry SHEFFORD Bedfordshire SG17 5PJ","R5 Recycling/reclamation of other inorganic materials"
"29","EA","ER162013146","Glass Other","L","URM UK Ltd t/a Berryman","4084246","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Lidgate Crescent SOUTH KIRKBY West Yorkshire WF9 3NR","R5 Recycling/reclamation of other inorganic materials"
"30","EA","ER162013113","Glass Other","L","Viridor Waste Management Ltd","0575069","Active","01/01/2016","01/01/2016","Accredited Reprocessors","SALMON PASTURES SHEFFIELD YORKSHIRE S4 7WT","R5 Recycling/reclamation of other inorganic materials"
"31","EA","ER162013119","Glass Other","L","Viridor Waste Management Ltd","0575069","Active","01/01/2016","01/01/2016","Accredited Reprocessors","FORD MRF ARUNDEL WEST SUSSEX BN18 0FL","R5 Recycling/reclamation of other inorganic materials"
"32","EA","ER162013129","Glass Other","L","Viridor Waste Management Ltd","00575069","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Crayford Materials Recycling Facility DARTFORD Kent DA1 4HQ","R5 Recycling/reclamation of other inorganic materials"
"33","EA","ER162013164","Glass Other","L","Ward Recycling Limited","4373217","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Ward Recycling Limited MIDDLESBROUGH Cleveland TS6 6TX","R5 Recycling/reclamation of other inorganic materials"
"34","EA","ER162014166","Glass Other","L","Yorwaste Ltd","02666908","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Seamer Carr Waste Management Facility SCARBOROUGH Scarborough YO12 4QA","R5 Recycling/reclamation of other inorganic materials"
"35","NRW","WR162013151","Glass Other","L","Glass Tech Recycling Ltd","07479819","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Roberts Road SWANSEA City & County of Swansea SA1 1QR","R5 Recycling/reclamation of other inorganic materials"
"36","NRW","WR162013142","Glass Other","L","Recresco Limited - Cwmbran","4066165","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Recresco Limited CWMBRAN Torfaen NP44 5BE","R5 Recycling/reclamation of other inorganic materials"
"37","NIEA","NR162013106","Glass Other","L","Enva Northern Ireland Ltd","NI017996","Active","01/01/2016","01/01/2016","Accredited Reprocessors","52 Creagh Road TOOMEBRIDGE Antrim BT413SE","R5 Recycling/reclamation of other inorganic materials"
"38","NIEA","NR162013105","Glass Other","L","Re-Gen Limited","NI 44110","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Unit 7 Shepherd's Drive, NEWRY Down BT35 6JQ","R5 Recycling/reclamation of other inorganic materials"
"39","NIEA","NR162016106","Glass Other","L","Re-Gen Waste Ltd","NI44110","Active","18/10/2016","18/10/2016","Accredited Reprocessors","50- 52 School Road NEWRY Co Down BT35 8RX","R5 Recycling/reclamation of other inorganic materials"
"40","NIEA","NR162016102","Glass Other","L","T&J Recycling T/A Barrett Recycling","NI611006","Active","11/04/2016","11/04/2016","Accredited Reprocessors","128 Eglish Rd DUNGANNON Tyrone BT701LB","R5 Recycling/reclamation of other inorganic materials"
"41","SEPA","SR162016102","Glass Other","L","Allglass Reprocessors (UK) Limited","SC226505","Cancelled","01/01/2016","01/02/2017","Accredited Reprocessors","Allglass Reprocessors (UK) Ltd LINWOOD Renfrewshire PA3 3BD","R5 Recycling/reclamation of other inorganic materials"
"42","SEPA","SR162014103","Glass Other","L","Dryden Aqua Ltd","SC072700","Cancelled","01/01/2016","01/02/2017","Accredited Reprocessors","Butlerfield Industrial Estate BONNYRIGG Midlothian EH19 3JQ","R5 Recycling/reclamation of other inorganic materials"
"43","SEPA","SR162013106","Glass Other","L","Enva Scotland Limited","SC057052","Cancelled","01/01/2016","01/02/2017","Accredited Reprocessors","49 Burnbrae Rd, Linwood Industrial Estate LINWOOD Renfrewshire PA3 3BD","R5 Recycling/reclamation of other inorganic materials"
"44","SEPA","SR162013102","Glass Other","S","Shetland Amenity Trust","SC017505","Cancelled","01/01/2016","01/02/2017","Accredited Reprocessors","Enviroglass CUNNINGSBURGH Shetland ZE2 9HB","R5 Recycling/reclamation of other inorganic materials"
"45","SEPA","SR162013108","Glass Other","S","Viridor Waste Management Limited","0575069","Cancelled","01/01/2016","01/02/2017","Accredited Reprocessors","5 Dalhousie Business Park BONNYRIGG Midlothian EH19 3HY","R5 Recycling/reclamation of other inorganic materials"
"46","SEPA","SR162015102","Glass Other","L","Viridor Waste Management Limited","0575069","Cancelled","01/01/2016","01/02/2017","Accredited Reprocessors","Mossband Farm NEWHOUSE Lanarkshire ML1 5ST","R5 Recycling/reclamation of other inorganic materials"
"47","EA","ER162013126","Glass Re-melt","L","Ardagh Glass Limited","00567801","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Doncaster Plant DONCASTER South Yorkshire DN2 4RH","R5 Recycling/reclamation of other inorganic materials"
"48","EA","ER162013127","Glass Re-melt","L","Ardagh Glass Limited","00567801","Active","01/01/2016","01/01/2016","Accredited Reprocessors","BARNSLEY PLANT BARNSLEY South Yorkshire S71 2QG","R5 Recycling/reclamation of other inorganic materials"
"49","EA","ER162013128","Glass Re-melt","L","Ardagh Glass Limited","00567801","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Knottingley Plant KNOTTINGLEY West Yorkshire WF11 0HP","R5 Recycling/reclamation of other inorganic materials"
"50","EA","ER162013109","Glass Re-melt","L","Beatson Clark Limited","00110186","Active","01/01/2016","01/01/2016","Accredited Reprocessors","The Glassworks ROTHERHAM South Yorkshire S60 1TZ","R5 Recycling/reclamation of other inorganic materials"
"51","EA","ER162013154","Glass Re-melt","L","Encirc Limited","NI 30990","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Encirc Business Park ELTON Cheshire CH2 4LF","R5 Recycling/reclamation of other inorganic materials"
"52","EA","ER162015121","Glass Re-melt","L","Glass Recycling (UK) Ltd","1169515","Active","01/01/2016","01/01/2016","Accredited Reprocessors","418 carlton road BARNSLEY south yorks S71 3HX","R5 Recycling/reclamation of other inorganic materials"
"53","EA","ER162013118","Glass Re-melt","S","Knauf Insulation Ltd","1926842","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Kanuf Insulation ST HELENS Merseyside WA10 3LZ","R5 Recycling/reclamation of other inorganic materials"
"54","EA","ER162013136","Glass Re-melt","L","O-I Glass Ltd","00526983","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Edinburgh Way HARLOW Essex CM20 2UG","R5 Recycling/reclamation of other inorganic materials"
"55","EA","ER162015103","Glass Re-melt","L","Recresco Limited (London)","4066165","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Recresco London SWANSCOMBE Kent DA10 0LL","R5 Recycling/reclamation of other inorganic materials"
"56","EA","ER162015106","Glass Re-melt","L","Recresco Ltd (3)","4066165","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Recresco Ltd KIRKBY-IN-ASHFIELD Nottinghamshire NG17 8AP","R5 Recycling/reclamation of other inorganic materials"
"57","EA","ER162013163","Glass Re-melt","S","Recycled Glass Company Ltd","4577696","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Unit 1 HIGHBRIDGE Somerset TA9 4AG","R5 Recycling/reclamation of other inorganic materials"
"58","EA","ER162015126","Glass Re-melt","L","Reuse Glass UK Ltd T/A Berryman","3578299","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Barnby Dun Rd DONCASTER South Yorkshire DN2 4RH","R5 Recycling/reclamation of other inorganic materials"
"59","EA","ER162015112","Glass Re-melt","L","Reuse Glass Uk Ltd T/A Berrymans","3578299","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Headlands Lane KNOTTINGLEY West Yorks WF11 0HP","R5 Recycling/reclamation of other inorganic materials"
"60","EA","ER162013155","Glass Re-melt","L","Stoelzle Flaconnage Limited","2973822","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Stoelzle Flaconnage Limited KNOTTINGLEY West Yorkshire WF11 8AP","R5 Recycling/reclamation of other inorganic materials"
"61","EA","ER162016162","Glass Re-melt","L","URM (UK) Ltd t/a Berrymans","4084246","Active","03/11/2016","03/11/2016","Accredited Reprocessors","BARNBY DUN ROAD DONCASTER SOUTH YORKSHIRE DN2 4RH","R5 Recycling/reclamation of other inorganic materials"
