sector,year,variable,value
Packaging ,2012,pom,2554751.3074842216
Packaging ,2012,outflow,2387194.82765644
Packaging ,2012,stock,167556.47982778167
Packaging ,2013,pom,2260618.755635708
Packaging ,2013,outflow,2266602.0029635634
Packaging ,2013,stock,161573.23249992542
Packaging ,2014,pom,2221040.919747519
Packaging ,2014,outflow,2216302.9951158403
Packaging ,2014,stock,166311.157131603
Packaging ,2015,pom,2261018.9359783595
Packaging ,2015,outflow,2250837.287475503
Packaging ,2015,stock,176492.80563445762
Packaging ,2016,pom,2261018.9359783595
Packaging ,2016,outflow,2253174.0944407145
Packaging ,2016,stock,184337.64717210457
Packaging ,2017,pom,2261018.9359783595
Packaging ,2017,outflow,2253242.271340463
Packaging ,2017,stock,192114.31181000173
Packaging ,2018,pom,2362064.4724977463
Packaging ,2018,outflow,2347661.837584344
Packaging ,2018,stock,206516.9467234034
Packaging ,2019,pom,2473114.517583409
Packaging ,2019,outflow,2457529.3901551063
Packaging ,2019,stock,222102.07415170595
Packaging ,2020,pom,2491780.9296663664
Packaging ,2020,outflow,2481852.1202903264
Packaging ,2020,stock,232030.88352774456
Packaging ,2021,pom,2515493.6158701517
Packaging ,2021,outflow,2505332.82595849
Packaging ,2021,stock,242191.67343940586
Packaging ,2022,pom,2246012.173128943
Packaging ,2022,outflow,2254993.2986384784
Packaging ,2022,stock,233210.54792987183
Packaging ,2023,pom,2433786.453096668
Packaging ,2023,outflow,2414223.4954687785
Packaging ,2023,stock,252773.50555776432
Packaging ,2024,pom,2448584.1427699532
Packaging ,2024,outflow,2438920.1370632695
Packaging ,2024,stock,262437.5112644471
Packaging ,2025,pom,2460625.0847309977
Packaging ,2025,outflow,2451382.9316932806
Packaging ,2025,stock,271679.6643021628
Packaging ,2026,pom,2469867.450491479
Packaging ,2026,outflow,2460777.5761662917
Packaging ,2026,stock,280769.53862734884
Packaging ,2027,pom,2476250.8331956426
Packaging ,2027,outflow,2467321.7916705115
Packaging ,2027,stock,289698.5801524818
Packaging ,2028,pom,2482253.3093376146
Packaging ,2028,outflow,2473332.4486349053
Packaging ,2028,stock,298619.44085519016
Packaging ,2029,pom,2487872.990045362
Packaging ,2029,outflow,2478957.3587325597
Packaging ,2029,stock,307535.0721679926
Packaging ,2030,pom,2493116.096401661
Packaging ,2030,outflow,2484206.5283396128
Packaging ,2030,stock,316444.6402300447
Packaging ,2031,pom,2497995.8147777184
Packaging ,2031,outflow,2489092.7282027607
Packaging ,2031,stock,325347.7268050015
Packaging ,2032,pom,2502516.8184261806
Packaging ,2032,outflow,2493621.132947882
Packaging ,2032,stock,334243.41228330135
Packaging ,2033,pom,2506691.9586806125
Packaging ,2033,outflow,2497804.0563245267
Packaging ,2033,stock,343131.3146393895
Packaging ,2034,pom,2510544.480089077
Packaging ,2034,outflow,2501664.002823181
Packaging ,2034,stock,352011.7919052839
Packaging ,2035,pom,2514139.3461537235
Packaging ,2035,outflow,2505263.1011706726
Packaging ,2035,stock,360888.0368883312
Packaging ,2036,pom,2517545.3561509643
Packaging ,2036,outflow,2508669.6014883406
Packaging ,2036,stock,369763.7915509492
Packaging ,2037,pom,2520791.158644823
Packaging ,2037,outflow,2511914.540974532
Packaging ,2037,stock,378640.4092212394
Packaging ,2038,pom,2523896.499102964
Packaging ,2038,outflow,2515018.2214329527
Packaging ,2038,stock,387518.6868912503
Packaging ,2039,pom,2526872.845534815
Packaging ,2039,outflow,2517992.6028773584
Packaging ,2039,stock,396398.9295487106
Packaging ,2040,pom,2529706.871418453
Packaging ,2040,outflow,2520825.9604757405
Packaging ,2040,stock,405279.84049141407
Packaging ,2041,pom,2532382.5524430377
Packaging ,2041,outflow,2523502.5368370754
Packaging ,2041,stock,414159.8560973853
Packaging ,2042,pom,2534899.2493081354
Packaging ,2042,outflow,2526020.7442802745
Packaging ,2042,stock,423038.3611252457
