year,route,share
2012,residual,0.6
2012,recycling,0.4
2013,residual,0.6
2013,recycling,0.4
2014,residual,0.6
2014,recycling,0.4
2015,residual,0.6
2015,recycling,0.4
2016,residual,0.6
2016,recycling,0.4
2017,residual,0.6
2017,recycling,0.4
2018,residual,0.6
2018,recycling,0.4
2019,residual,0.6
2019,recycling,0.4
2020,residual,0.6
2020,recycling,0.4
2021,residual,0.6
2021,recycling,0.4
2022,residual,0.6
2022,recycling,0.4
2023,residual,0.6
2023,recycling,0.4
2024,residual,0.6
2024,recycling,0.4
2025,residual,0.6
2025,recycling,0.4
2026,residual,0.6
2026,recycling,0.4
2027,residual,0.6
2027,recycling,0.4
2028,residual,0.6
2028,recycling,0.4
2029,residual,0.6
2029,recycling,0.4
2030,residual,0.6
2030,recycling,0.4
2031,residual,0.6
2031,recycling,0.4
2032,residual,0.6
2032,recycling,0.4
2033,residual,0.6
2033,recycling,0.4
2034,residual,0.6
2034,recycling,0.4
2035,residual,0.6
2035,recycling,0.4
2036,residual,0.6
2036,recycling,0.4
2037,residual,0.6
2037,recycling,0.4
2038,residual,0.6
2038,recycling,0.4
2039,residual,0.6
2039,recycling,0.4
2040,residual,0.6
2040,recycling,0.4
2041,residual,0.6
2041,recycling,0.4
2042,residual,0.6
2042,recycling,0.4
,,
,,
