year,route,share
2012,treated_overseas,0.55
2012,mismanaged,0.05
2012,formal_domestic_treatment,0.4
2013,treated_overseas,0.55
2013,mismanaged,0.05
2013,formal_domestic_treatment,0.4
2014,treated_overseas,0.55
2014,mismanaged,0.05
2014,formal_domestic_treatment,0.4
2015,treated_overseas,0.55
2015,mismanaged,0.05
2015,formal_domestic_treatment,0.4
2016,treated_overseas,0.55
2016,mismanaged,0.05
2016,formal_domestic_treatment,0.4
2017,treated_overseas,0.55
2017,mismanaged,0.05
2017,formal_domestic_treatment,0.4
2018,treated_overseas,0.55
2018,mismanaged,0.05
2018,formal_domestic_treatment,0.4
2019,treated_overseas,0.55
2019,mismanaged,0.05
2019,formal_domestic_treatment,0.4
2020,treated_overseas,0.55
2020,mismanaged,0.05
2020,formal_domestic_treatment,0.4
2021,treated_overseas,0.55
2021,mismanaged,0.05
2021,formal_domestic_treatment,0.4
2022,treated_overseas,0.55
2022,mismanaged,0.05
2022,formal_domestic_treatment,0.4
2023,treated_overseas,0.55
2023,mismanaged,0.05
2023,formal_domestic_treatment,0.4
2024,treated_overseas,0.55
2024,mismanaged,0.05
2024,formal_domestic_treatment,0.4
2025,treated_overseas,0.55
2025,mismanaged,0.05
2025,formal_domestic_treatment,0.4
2026,treated_overseas,0.55
2026,mismanaged,0.05
2026,formal_domestic_treatment,0.4
2027,treated_overseas,0.55
2027,mismanaged,0.05
2027,formal_domestic_treatment,0.4
2028,treated_overseas,0.55
2028,mismanaged,0.05
2028,formal_domestic_treatment,0.4
2029,treated_overseas,0.55
2029,mismanaged,0.05
2029,formal_domestic_treatment,0.4
2030,treated_overseas,0.55
2030,mismanaged,0.05
2030,formal_domestic_treatment,0.4
2031,treated_overseas,0.55
2031,mismanaged,0.05
2031,formal_domestic_treatment,0.4
2032,treated_overseas,0.55
2032,mismanaged,0.05
2032,formal_domestic_treatment,0.4
2033,treated_overseas,0.55
2033,mismanaged,0.05
2033,formal_domestic_treatment,0.4
2034,treated_overseas,0.55
2034,mismanaged,0.05
2034,formal_domestic_treatment,0.4
2035,treated_overseas,0.55
2035,mismanaged,0.05
2035,formal_domestic_treatment,0.4
2036,treated_overseas,0.55
2036,mismanaged,0.05
2036,formal_domestic_treatment,0.4
2037,treated_overseas,0.55
2037,mismanaged,0.05
2037,formal_domestic_treatment,0.4
2038,treated_overseas,0.55
2038,mismanaged,0.05
2038,formal_domestic_treatment,0.4
2039,treated_overseas,0.55
2039,mismanaged,0.05
2039,formal_domestic_treatment,0.4
2040,treated_overseas,0.55
2040,mismanaged,0.05
2040,formal_domestic_treatment,0.4
2041,treated_overseas,0.55
2041,mismanaged,0.05
2041,formal_domestic_treatment,0.4
2042,treated_overseas,0.55
2042,mismanaged,0.05
2042,formal_domestic_treatment,0.4
