"","year","variable","material","application","material1","type","forecast_type","method","exogenous_factor","value"
"1",2014,"littering","PS","Other","Plastic","Outturn","NULL","NULL","NULL",150.63884648
"2",2015,"littering","PS","Other","Plastic","Outturn","NULL","NULL","NULL",153.35029688
"3",2016,"littering","PS","Other","Plastic","Outturn","NULL","NULL","NULL",153.35029688
"4",2017,"littering","PS","Other","Plastic","Outturn","NULL","NULL","NULL",153.35029688
"5",2018,"littering","PS","Other","Plastic","Outturn","NULL","NULL","NULL",121.96297892
"6",2019,"littering","PS","Other","Plastic","Outturn","NULL","NULL","NULL",86.43356644
"7",2020,"littering","PS","Other","Plastic","Outturn","NULL","NULL","NULL",198.94317284
"8",2021,"littering","PS","Other","Plastic","Outturn","NULL","NULL","NULL",317.26940064
"9",2022,"littering","PS","Other","Plastic","Outturn","NULL","NULL","NULL",560.980298
"10",2023,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",607.8801648
"11",2024,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",611.5761428
"12",2025,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",614.583576
"13",2026,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",616.8920164
"14",2027,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",618.4863764
"15",2028,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",619.9855984
"16",2029,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",621.3892104
"17",2030,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",622.6987668
"18",2031,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",623.9175608
"19",2032,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",625.0467592
"20",2033,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",626.0895728
"21",2034,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",627.0518064
"22",2035,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",627.9496864
"23",2036,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",628.800396
"24",2037,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",629.6110912
"25",2038,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",630.3867036
"26",2039,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",631.1300976
"27",2040,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",631.8379444
"28",2041,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",632.506242
"29",2042,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",633.1348304
"30",2014,"Mechanical recycling","PS","Other","Plastic","Outturn","NULL","NULL","NULL",570
"31",2015,"Mechanical recycling","PS","Other","Plastic","Outturn","NULL","NULL","NULL",570.544671203446
"32",2016,"Mechanical recycling","PS","Other","Plastic","Outturn","NULL","NULL","NULL",570.360046928445
"33",2017,"Mechanical recycling","PS","Other","Plastic","Outturn","NULL","NULL","NULL",572.282515564481
"34",2018,"Mechanical recycling","PS","Other","Plastic","Outturn","NULL","NULL","NULL",622.514725935314
"35",2019,"Mechanical recycling","PS","Other","Plastic","Outturn","NULL","NULL","NULL",491.952268871953
"36",2020,"Mechanical recycling","PS","Other","Plastic","Outturn","NULL","NULL","NULL",393.233463140477
"37",2021,"Mechanical recycling","PS","Other","Plastic","Outturn","NULL","NULL","NULL",1002.69309862394
"38",2022,"Mechanical recycling","PS","Other","Plastic","Outturn","NULL","NULL","NULL",2171.03528241777
"39",2023,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4213.00944891839
"40",2024,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4134.89443309744
"41",2025,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4160.03504426063
"42",2026,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4180.49206772789
"43",2027,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4196.19443459527
"44",2028,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4207.03951668563
"45",2029,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4217.23745545834
"46",2030,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4226.78504029677
"47",2031,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4235.69284446895
"48",2032,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4243.98326882808
"49",2033,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4251.66425012735
"50",2034,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4258.75762872248
"51",2035,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4265.30288975643
"52",2036,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4271.41040769924
"53",2037,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4277.19706532176
"54",2038,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4282.71153883731
"55",2039,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4287.98737374806
"56",2040,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4293.04405414363
"57",2041,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4297.85893701411
"58",2042,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4302.40480013962
"59",2014,"Mechanical recycling","PVC","Film","Plastic","Outturn","NULL","NULL","NULL",1283
"60",2015,"Mechanical recycling","PVC","Film","Plastic","Outturn","NULL","NULL","NULL",1283.7255102835
"61",2016,"Mechanical recycling","PVC","Film","Plastic","Outturn","NULL","NULL","NULL",1283.31010536584
"62",2017,"Mechanical recycling","PVC","Film","Plastic","Outturn","NULL","NULL","NULL",1287.63565979617
"63",2018,"Mechanical recycling","PVC","Film","Plastic","Outturn","NULL","NULL","NULL",1400.65813311089
"64",2019,"Mechanical recycling","PVC","Film","Plastic","Outturn","NULL","NULL","NULL",983.90453758256
