variable,year,forecast_type,level,total,method,exogenous_factor,material1,application,material,domestic_production,net_imports,,
Placed on market,2014,,,456624.0034,,,Plastic,Bottle,hdpe,228312.0017,228312.0017,,
Placed on market,2014,,,0,,,Plastic,Bottle,ldpe,0,0,,
Placed on market,2014,,,0,,,Plastic,Bottle,other,0,0,,
Placed on market,2014,,,941.4927905,,,Plastic,Bottle,pe,470.7463953,470.7463953,,
Placed on market,2014,,,416139.8134,,,Plastic,Bottle,pet,208069.9067,208069.9067,,
Placed on market,2014,,,16005.37744,,,Plastic,Bottle,pp,8002.688719,8002.688719,,
Placed on market,2014,,,0,,,Plastic,Bottle,ps,0,0,,
Placed on market,2014,,,0,,,Plastic,Bottle,pvc,0,0,,
Placed on market,2014,,,92266.29347,,,Plastic,Film,hdpe,46133.14673,46133.14673,,
Placed on market,2014,,,342703.3757,,,Plastic,Film,ldpe,171351.6879,171351.6879,,
Placed on market,2014,,,17888.36302,,,Plastic,Film,other,8944.18151,8944.18151,,
Placed on market,2014,,,96973.75742,,,Plastic,Film,pe,48486.87871,48486.87871,,
Placed on market,2014,,,29186.27651,,,Plastic,Film,pet,14593.13825,14593.13825,,
Placed on market,2014,,,125218.5411,,,Plastic,Film,pp,62609.27057,62609.27057,,
Placed on market,2014,,,1882.985581,,,Plastic,Film,ps,941.4927905,941.4927905,,
Placed on market,2014,,,8473.435115,,,Plastic,Film,pvc,4236.717557,4236.717557,,
Placed on market,2014,,,58372.55301,,,Plastic,Other,hdpe,29186.27651,29186.27651,,
Placed on market,2014,,,21654.33418,,,Plastic,Other,ldpe,10827.16709,10827.16709,,
Placed on market,2014,,,0,,,Plastic,Other,other,0,0,,
Placed on market,2014,,,941.4927905,,,Plastic,Other,pe,470.7463953,470.7463953,,
Placed on market,2014,,,37659.71162,,,Plastic,Other,pet,18829.85581,18829.85581,,
Placed on market,2014,,,74377.93045,,,Plastic,Other,pp,37188.96522,37188.96522,,
Placed on market,2014,,,3765.971162,,,Plastic,Other,ps,1882.985581,1882.985581,,
Placed on market,2014,,,2824.478372,,,Plastic,Other,pvc,1412.239186,1412.239186,,
Placed on market,2014,,,24478.81255,,,Plastic,PTT,hdpe,12239.40628,12239.40628,,
Placed on market,2014,,,941.4927905,,,Plastic,PTT,ldpe,470.7463953,470.7463953,,
Placed on market,2014,,,1882.985581,,,Plastic,PTT,other,941.4927905,941.4927905,,
Placed on market,2014,,,11297.91349,,,Plastic,PTT,pe,5648.956743,5648.956743,,
Placed on market,2014,,,159112.2816,,,Plastic,PTT,pet,79556.1408,79556.1408,,39778
Placed on market,2014,,,152521.8321,,,Plastic,PTT,pp,76260.91603,76260.91603,,
Placed on market,2014,,,53665.08906,,,Plastic,PTT,ps,26832.54453,26832.54453,,
Placed on market,2014,,,12239.40628,,,Plastic,PTT,pvc,6119.703138,6119.703138,,
Placed on market,2015,,,464843.0874,,,Plastic,Bottle,hdpe,232421.5437,232421.5437,,
Placed on market,2015,,,0,,,Plastic,Bottle,ldpe,0,0,,
Placed on market,2015,,,0,,,Plastic,Bottle,other,0,0,,
Placed on market,2015,,,958.4393554,,,Plastic,Bottle,pe,479.2196777,479.2196777,,
Placed on market,2015,,,423630.1951,,,Plastic,Bottle,pet,211815.0975,211815.0975,,
Placed on market,2015,,,16293.46904,,,Plastic,Bottle,pp,8146.734521,8146.734521,,
Placed on market,2015,,,0,,,Plastic,Bottle,ps,0,0,,
Placed on market,2015,,,0,,,Plastic,Bottle,pvc,0,0,,
Placed on market,2015,,,93927.05683,,,Plastic,Film,hdpe,46963.52841,46963.52841,,
Placed on market,2015,,,348871.9254,,,Plastic,Film,ldpe,174435.9627,174435.9627,,
Placed on market,2015,,,18210.34775,,,Plastic,Film,other,9105.173876,9105.173876,,
Placed on market,2015,,,98719.2536,,,Plastic,Film,pe,49359.6268,49359.6268,,
Placed on market,2015,,,29711.62002,,,Plastic,Film,pet,14855.81001,14855.81001,,
Placed on market,2015,,,127472.4343,,,Plastic,Film,pp,63736.21713,63736.21713,,
Placed on market,2015,,,1916.878711,,,Plastic,Film,ps,958.4393554,958.4393554,,
