material,application,variable,year,value,
pet,bottle,historical data for la collected,2014,0.378152964,
pet,bottle,historical data for la collected,2015,0.384204465,
pet,bottle,historical data for la collected,2016,0.388583223, 
pet,bottle,historical data for la collected,2017,0.368090016,
pet,bottle,historical data for la collected,2018,0.357431516,
pet,bottle,historical data for la collected,2019,0.377737053,
pet,bottle,historical data for la collected,2020,0.407769943,
pet,bottle,historical data for la collected,2021,0.413407561,
pet,bottle,historical data for la collected,2022,0.391954918,
pet,bottle,historical data for la collected,2023,0.391954978,
pet,bottle,wmc historical,2014,0.575846899,
pet,bottle,wmc historical,2015,0.56979547,
pet,bottle,wmc historical,2016,0.565416865,
pet,bottle,wmc historical,2017,0.585910073,
pet,bottle,wmc historical,2018,0.596568377,
pet,bottle,wmc historical,2019,0.576262952,
pet,bottle,wmc historical,2020,0.54623003,
pet,bottle,wmc historical,2021,0.540592441,
pet,bottle,wmc historical,2022,0.562045048,
pet,bottle,wmc historical,2023,0.56204503,
pet,bottle,littering rate historical data,2014,0.039999994,
pet,bottle,littering rate historical data,2015,0.040000009,
pet,bottle,littering rate historical data,2016,0.040000009,
pet,bottle,littering rate historical data,2017,0.040000009,
pet,bottle,littering rate historical data,2018,0.039999997,
pet,bottle,littering rate historical data,2019,0.040000005,
pet,bottle,littering rate historical data,2020,0.040000005,
pet,bottle,littering rate historical data,2021,0.039999995,
pet,bottle,littering rate historical data,2022,0.040000003,
pet,bottle,littering rate historical data,2023,0.040000003,
pet,bottle,rate to illegal collection,2014,0.005999999,
pet,bottle,rate to illegal collection,2015,0.006000001,
pet,bottle,rate to illegal collection,2016,0.006000001,
pet,bottle,rate to illegal collection,2017,0.006000001,
pet,bottle,rate to illegal collection,2018,0.006,
pet,bottle,rate to illegal collection,2019,0.005999999,
pet,bottle,rate to illegal collection,2020,0.005999999,
pet,bottle,rate to illegal collection,2021,0.006000001,
pet,bottle,rate to illegal collection,2022,0.006,
pet,bottle,rate to illegal collection,2023,0.006,
pet,bottle,rvm historical,2014,0,
pet,bottle,rvm historical,2015,0,
pet,bottle,rvm historical,2016,0,
pet,bottle,rvm historical,2017,0,
pet,bottle,rvm historical,2018,0,
pet,bottle,rvm historical,2019,0,
pet,bottle,rvm historical,2020,0,
pet,bottle,rvm historical,2021,0,
pet,bottle,rvm historical,2022,0,
pet,bottle,rvm historical,2023,0,
pet,ptt,historical data for la collected,2014,0.378152964,
pet,ptt,historical data for la collected,2015,0.384204465,
pet,ptt,historical data for la collected,2016,0.388583223,
pet,ptt,historical data for la collected,2017,0.368090016,
pet,ptt,historical data for la collected,2018,0.357431516,
pet,ptt,historical data for la collected,2019,0.377737053,
pet,ptt,historical data for la collected,2020,0.407769943,
pet,ptt,historical data for la collected,2021,0.413407561,
pet,ptt,historical data for la collected,2022,0.391954918,
pet,ptt,historical data for la collected,2023,0.391954978,
pet,ptt,wmc historical,2014,0.575846899,
pet,ptt,wmc historical,2015,0.56979547,
pet,ptt,wmc historical,2016,0.565416865,
pet,ptt,wmc historical,2017,0.585910073,
pet,ptt,wmc historical,2018,0.596568377,
pet,ptt,wmc historical,2019,0.576262952,
pet,ptt,wmc historical,2020,0.54623003,
pet,ptt,wmc historical,2021,0.540592441,
pet,ptt,wmc historical,2022,0.562045048,
pet,ptt,wmc historical,2023,0.56204503,
pet,ptt,littering rate historical data,2014,0.039999994,
pet,ptt,littering rate historical data,2015,0.040000009,
pet,ptt,littering rate historical data,2016,0.040000009,
pet,ptt,littering rate historical data,2017,0.040000009,
pet,ptt,littering rate historical data,2018,0.039999997,
pet,ptt,littering rate historical data,2019,0.040000005,
pet,ptt,littering rate historical data,2020,0.040000005,
pet,ptt,littering rate historical data,2021,0.039999995,
pet,ptt,littering rate historical data,2022,0.040000003,
pet,ptt,littering rate historical data,2023,0.040000003,
pet,ptt,rate to illegal collection,2014,0.005999999,
pet,ptt,rate to illegal collection,2015,0.006000001,
pet,ptt,rate to illegal collection,2016,0.006000001,
pet,ptt,rate to illegal collection,2017,0.006000001,
pet,ptt,rate to illegal collection,2018,0.006,
pet,ptt,rate to illegal collection,2019,0.005999999,
pet,ptt,rate to illegal collection,2020,0.005999999,
pet,ptt,rate to illegal collection,2021,0.006000001,
pet,ptt,rate to illegal collection,2022,0.006,
pet,ptt,rate to illegal collection,2023,0.006,
pet,ptt,rvm historical,2014,0,
pet,ptt,rvm historical,2015,0,
pet,ptt,rvm historical,2016,0,
pet,ptt,rvm historical,2017,0,
pet,ptt,rvm historical,2018,0,
pet,ptt,rvm historical,2019,0,
pet,ptt,rvm historical,2020,0,
pet,ptt,rvm historical,2021,0,
pet,ptt,rvm historical,2022,0,
pet,ptt,rvm historical,2023,0,
pet,film,historical data for la collected,2014,0.378153,
pet,film,historical data for la collected,2015,0.384204,
pet,film,historical data for la collected,2016,0.388583,
pet,film,historical data for la collected,2017,0.36809,
pet,film,historical data for la collected,2018,0.357432,
pet,film,historical data for la collected,2019,0.377737,
pet,film,historical data for la collected,2020,0.40777,
pet,film,historical data for la collected,2021,0.413408,
pet,film,historical data for la collected,2022,0.391955,
pet,film,historical data for la collected,2023,0.391955,
pet,film,wmc historical,2014,0.575847,
pet,film,wmc historical,2015,0.569795,
pet,film,wmc historical,2016,0.565417,
pet,film,wmc historical,2017,0.58591,
pet,film,wmc historical,2018,0.596568,
pet,film,wmc historical,2019,0.576263,
pet,film,wmc historical,2020,0.54623,
pet,film,wmc historical,2021,0.540592,
pet,film,wmc historical,2022,0.562045,
pet,film,wmc historical,2023,0.562045,
pet,film,littering rate historical data,2014,0.04,
pet,film,littering rate historical data,2015,0.04,
pet,film,littering rate historical data,2016,0.04,
pet,film,littering rate historical data,2017,0.04,
pet,film,littering rate historical data,2018,0.04,
pet,film,littering rate historical data,2019,0.04,
pet,film,littering rate historical data,2020,0.04,
pet,film,littering rate historical data,2021,0.04,
pet,film,littering rate historical data,2022,0.04,
pet,film,littering rate historical data,2023,0.04,
pet,film,rate to illegal collection,2014,0.006,
pet,film,rate to illegal collection,2015,0.006,
pet,film,rate to illegal collection,2016,0.006,
pet,film,rate to illegal collection,2017,0.006,
pet,film,rate to illegal collection,2018,0.006,
pet,film,rate to illegal collection,2019,0.006,
pet,film,rate to illegal collection,2020,0.006,
pet,film,rate to illegal collection,2021,0.006,
pet,film,rate to illegal collection,2022,0.006,
pet,film,rate to illegal collection,2023,0.006,
pet,film,rvm historical,2014,0,
pet,film,rvm historical,2015,0,
pet,film,rvm historical,2016,0,
pet,film,rvm historical,2017,0,
pet,film,rvm historical,2018,0,
pet,film,rvm historical,2019,0,
pet,film,rvm historical,2020,0,
pet,film,rvm historical,2021,0,
pet,film,rvm historical,2022,0,
pet,film,rvm historical,2023,0,
pet,other,historical data for la collected,2014,0.378153,
