Cn8,Hs2,Hs4,Hs6,Description,Year,FlowType,Country,Value,NetMass,SuppUnit
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2001,"EU Imports","France",45362,73464,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2002,"EU Imports","France",7974,81060,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2003,"EU Imports","France",49425,221461,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2004,"EU Imports","France",86404,810065,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2005,"EU Imports","France",731933,2692618,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2006,"EU Imports","France",514329,936704,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2007,"EU Imports","France",811857,1437798,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2008,"EU Imports","France",123593,204030,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2009,"EU Imports","France",105275,114335,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2010,"EU Imports","France",11320,63932,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2011,"EU Imports","France",227674,291261,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2012,"EU Imports","France",418633,589869,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2013,"EU Imports","France",260064,427568,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2014,"EU Imports","France",862182,1855579,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2015,"EU Imports","France",1030513,2483091,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2016,"EU Imports","France",1481962,3137673,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2017,"EU Imports","France",397690,2187883,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2018,"EU Imports","France",508546,687322,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2019,"EU Imports","France",2730226,3277884,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2020,"EU Imports","France",182417,916171,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2021,"EU Imports","France",548203,989883,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2022,"EU Imports","France",877043,2404271,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2023,"EU Imports","France",584981,2367956,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2005,"EU Exports","France",15330,97714,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2006,"EU Exports","France",129776,672034,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2007,"EU Exports","France",101812,202243,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2008,"EU Exports","France",68944,150965,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2009,"EU Exports","France",46368,144425,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2010,"EU Exports","France",649663,1818776,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2011,"EU Exports","France",1465458,2899391,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2012,"EU Exports","France",1024165,2434920,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2013,"EU Exports","France",1800406,5952825,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2014,"EU Exports","France",859850,4006954,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2015,"EU Exports","France",1650277,6415311,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2016,"EU Exports","France",1539456,3265893,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2017,"EU Exports","France",1127348,3004963,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2018,"EU Exports","France",1800023,3833569,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2019,"EU Exports","France",2281892,3413984,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2020,"EU Exports","France",1882156,3230733,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2021,"EU Exports","France",4553789,10757975,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2022,"EU Exports","France",6265838,8461888,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2023,"EU Exports","France",2286815,4638654,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2000,"EU Imports","Netherlands",1073797,3749318,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2001,"EU Imports","Netherlands",989358,2819144,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2002,"EU Imports","Netherlands",708752,2447462,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2003,"EU Imports","Netherlands",526637,1945193,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2004,"EU Imports","Netherlands",677763,3420672,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2005,"EU Imports","Netherlands",1296234,4559707,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2006,"EU Imports","Netherlands",1617952,5050187,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2007,"EU Imports","Netherlands",1402933,4175006,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2008,"EU Imports","Netherlands",997317,3000317,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2009,"EU Imports","Netherlands",556103,2091995,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2010,"EU Imports","Netherlands",2014830,3856804,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2011,"EU Imports","Netherlands",11699433,12935749,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2012,"EU Imports","Netherlands",11482416,14323657,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2013,"EU Imports","Netherlands",9329337,12284072,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2014,"EU Imports","Netherlands",7636467,11657499,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2015,"EU Imports","Netherlands",4533278,8188375,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2016,"EU Imports","Netherlands",6034063,11457268,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2017,"EU Imports","Netherlands",8447379,14804595,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2018,"EU Imports","Netherlands",6359648,11289801,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2019,"EU Imports","Netherlands",8569842,12585773,0
"39151000","39","3915","391510","Waste, parings and scrap, of polymers of ethylene",2020,"EU Imports","Netherlands",7472151,10192149,0
