year,variable,material,application,level,value
2014,littering,LDPE,Film,Low,13708.135027999999
2015,littering,LDPE,Film,Low,13954.877016
2016,littering,LDPE,Film,Low,13954.877016
2017,littering,LDPE,Film,Low,13954.877016
2018,littering,LDPE,Film,Low,14127.378392
2019,littering,LDPE,Film,Low,14304.755244
2020,littering,LDPE,Film,Low,14058.650880000001
2021,littering,LDPE,Film,Low,13823.881028
2022,littering,LDPE,Film,Low,13204.613168
2023,littering,LDPE,Film,Low,14308.563876
2024,littering,LDPE,Film,Low,14395.561520000001
2025,littering,LDPE,Film,Low,14466.351868
2026,littering,LDPE,Film,Low,14520.688999999998
2027,littering,LDPE,Film,Low,14558.217779999999
2028,littering,LDPE,Film,Low,14593.507160000001
2029,littering,LDPE,Film,Low,14626.546032
2030,littering,LDPE,Film,Low,14657.370972
2031,littering,LDPE,Film,Low,14686.059508
2032,littering,LDPE,Film,Low,14712.639104
2033,littering,LDPE,Film,Low,14737.185328
2034,littering,LDPE,Film,Low,14759.834828000001
2035,littering,LDPE,Film,Low,14780.96954
2036,littering,LDPE,Film,Low,14800.993936
2037,littering,LDPE,Film,Low,14820.076455999999
2038,littering,LDPE,Film,Low,14838.333176
2039,littering,LDPE,Film,Low,14855.831524000001
2040,littering,LDPE,Film,Low,14872.493152000001
2041,littering,LDPE,Film,Low,14888.223848000001
2042,littering,LDPE,Film,Low,14903.019852
2014,littering,PS,Bottle,Low,0.0
2015,littering,PS,Bottle,Low,0.0
2016,littering,PS,Bottle,Low,0.0
2017,littering,PS,Bottle,Low,0.0
2018,littering,PS,Bottle,Low,0.0
2019,littering,PS,Bottle,Low,0.0
2020,littering,PS,Bottle,Low,0.0
2021,littering,PS,Bottle,Low,0.0
2022,littering,PS,Bottle,Low,0.0
2023,littering,PS,Bottle,Low,0.0
2024,littering,PS,Bottle,Low,0.0
2025,littering,PS,Bottle,Low,0.0
2026,littering,PS,Bottle,Low,0.0
2027,littering,PS,Bottle,Low,0.0
2028,littering,PS,Bottle,Low,0.0
2029,littering,PS,Bottle,Low,0.0
2030,littering,PS,Bottle,Low,0.0
2031,littering,PS,Bottle,Low,0.0
2032,littering,PS,Bottle,Low,0.0
2033,littering,PS,Bottle,Low,0.0
2034,littering,PS,Bottle,Low,0.0
2035,littering,PS,Bottle,Low,0.0
2036,littering,PS,Bottle,Low,0.0
2037,littering,PS,Bottle,Low,0.0
2038,littering,PS,Bottle,Low,0.0
2039,littering,PS,Bottle,Low,0.0
2040,littering,PS,Bottle,Low,0.0
2041,littering,PS,Bottle,Low,0.0
2042,littering,PS,Bottle,Low,0.0
2014,littering,PS,Film,Low,75.31942323999999
2015,littering,PS,Film,Low,76.67514844
2016,littering,PS,Film,Low,76.67514844
2017,littering,PS,Film,Low,76.67514844
2018,littering,PS,Film,Low,142.29014204
2019,littering,PS,Film,Low,216.08391608000002
2020,littering,PS,Film,Low,221.04796984
2021,littering,PS,Film,Low,226.62100044
2022,littering,PS,Film,Low,0.0
2023,littering,PS,Film,Low,0.0
2024,littering,PS,Film,Low,0.0
2025,littering,PS,Film,Low,0.0
2026,littering,PS,Film,Low,0.0
2027,littering,PS,Film,Low,0.0
2028,littering,PS,Film,Low,0.0
2029,littering,PS,Film,Low,0.0
2030,littering,PS,Film,Low,0.0
2031,littering,PS,Film,Low,0.0
2032,littering,PS,Film,Low,0.0
2033,littering,PS,Film,Low,0.0
2034,littering,PS,Film,Low,0.0
2035,littering,PS,Film,Low,0.0
2036,littering,PS,Film,Low,0.0
2037,littering,PS,Film,Low,0.0
2038,littering,PS,Film,Low,0.0
2039,littering,PS,Film,Low,0.0
2040,littering,PS,Film,Low,0.0
2041,littering,PS,Film,Low,0.0
2042,littering,PS,Film,Low,0.0
2014,littering,Other,Film,Low,715.5345208
2015,littering,Other,Film,Low,728.4139100000001
2016,littering,Other,Film,Low,728.4139100000001
2017,littering,Other,Film,Low,728.4139100000001
2018,littering,Other,Film,Low,1443.2285836
2019,littering,Other,Film,Low,2247.2727272
2020,littering,Other,Film,Low,1613.6501796
2021,littering,Other,Film,Low,951.808202
2022,littering,Other,Film,Low,3538.49111
2023,littering,Other,Film,Low,3834.3210384
2024,littering,Other,Film,Low,3857.6341328
2025,littering,Other,Film,Low,3876.6040948
2026,littering,Other,Film,Low,3891.1650264000004
2027,littering,Other,Film,Low,3901.2217584
2028,littering,Other,Film,Low,3910.6783896
2029,littering,Other,Film,Low,3919.5319436000004
2030,littering,Other,Film,Low,3927.7922216
2031,littering,Other,Film,Low,3935.4799984
2032,littering,Other,Film,Low,3942.6026364000004
2033,littering,Other,Film,Low,3949.180382
2034,littering,Other,Film,Low,3955.2498560000004
2035,littering,Other,Film,Low,3960.9134056
2036,littering,Other,Film,Low,3966.2794212000003
2037,littering,Other,Film,Low,3971.3930368
2038,littering,Other,Film,Low,3976.2853612000004
2039,littering,Other,Film,Low,3980.9744608000005
2040,littering,Other,Film,Low,3985.4393412
2041,littering,Other,Film,Low,3989.6547564
2042,littering,Other,Film,Low,3993.6196988
2014,littering,PVC,Film,Low,338.93740460000004
2015,littering,PVC,Film,Low,345.03816792
2016,littering,PVC,Film,Low,345.03816792
2017,littering,PVC,Film,Low,345.03816792
2018,littering,PVC,Film,Low,243.9259578
2019,littering,PVC,Film,Low,129.65034964
2020,littering,PVC,Film,Low,110.52398492
2021,littering,PVC,Film,Low,90.6484002
2022,littering,PVC,Film,Low,345.21864488
2023,littering,PVC,Film,Low,374.08010132000004
2024,littering,PVC,Film,Low,376.35454952000003
2025,littering,PVC,Film,Low,378.20527756
2026,littering,PVC,Film,Low,379.6258562
2027,littering,PVC,Film,Low,380.60700083999996
2028,littering,PVC,Film,Low,381.52959896
2029,littering,PVC,Film,Low,382.39336036000003
2030,littering,PVC,Film,Low,383.19924112
2031,littering,PVC,Film,Low,383.94926812
2032,littering,PVC,Film,Low,384.64415964
2033,littering,PVC,Film,Low,385.28589092000004
2034,littering,PVC,Film,Low,385.87803472
2035,littering,PVC,Film,Low,386.43057616
2036,littering,PVC,Film,Low,386.95408988
2037,littering,PVC,Film,Low,387.45297919999996
2038,littering,PVC,Film,Low,387.93027911999997
2039,littering,PVC,Film,Low,388.38775228
2040,littering,PVC,Film,Low,388.82335035999995
2041,littering,PVC,Film,Low,389.23461036000003
2042,littering,PVC,Film,Low,389.62143404000005
2014,littering,HDPE,Film,Low,3690.6517388
2015,littering,HDPE,Film,Low,3757.0822732
2016,littering,HDPE,Film,Low,3757.0822732
2017,littering,HDPE,Film,Low,3757.0822732
2018,littering,HDPE,Film,Low,2479.9139044
2019,littering,HDPE,Film,Low,1037.2027972
2020,littering,HDPE,Film,Low,884.1918792
2021,littering,HDPE,Film,Low,725.1872016
2022,littering,HDPE,Film,Low,819.8942816
2023,littering,HDPE,Film,Low,888.4402408000001
2024,littering,HDPE,Film,Low,893.8420552
2025,littering,HDPE,Film,Low,898.237534
2026,littering,HDPE,Film,Low,901.6114084
2027,littering,HDPE,Film,Low,903.9416268
2028,littering,HDPE,Film,Low,906.1327976000001
2029,littering,HDPE,Film,Low,908.1842307999999
2030,littering,HDPE,Film,Low,910.0981976
2031,littering,HDPE,Film,Low,911.879512
2032,littering,HDPE,Film,Low,913.5298792
2033,littering,HDPE,Film,Low,915.0539908000001
2034,littering,HDPE,Film,Low,916.4603324000001
2035,littering,HDPE,Film,Low,917.7726184
2036,littering,HDPE,Film,Low,919.0159636
2037,littering,HDPE,Film,Low,920.2008255999999
2038,littering,HDPE,Film,Low,921.3344128
2039,littering,HDPE,Film,Low,922.4209116
2040,littering,HDPE,Film,Low,923.4554572
2041,littering,HDPE,Film,Low,924.4321996
2042,littering,HDPE,Film,Low,925.350906
2014,littering,PVC,PTT,Low,489.57617776356227
2015,littering,PVC,PTT,Low,498.38857693740454
2016,littering,PVC,PTT,Low,498.3885769374046
2017,littering,PVC,PTT,Low,498.3885769374046
2018,littering,PVC,PTT,Low,345.56174764286703
2019,littering,PVC,PTT,Low,172.8671544883916
2020,littering,PVC,PTT,Low,198.94319770789662
2021,littering,PVC,PTT,Low,226.62097211237494
2022,littering,PVC,PTT,Low,0.0
2023,littering,PVC,PTT,Low,0.0
2024,littering,PVC,PTT,Low,0.0
2025,littering,PVC,PTT,Low,0.0
2026,littering,PVC,PTT,Low,0.0
2027,littering,PVC,PTT,Low,0.0
2028,littering,PVC,PTT,Low,0.0
2029,littering,PVC,PTT,Low,0.0
2030,littering,PVC,PTT,Low,0.0
2031,littering,PVC,PTT,Low,0.0
2032,littering,PVC,PTT,Low,0.0
2033,littering,PVC,PTT,Low,0.0
2034,littering,PVC,PTT,Low,0.0
2035,littering,PVC,PTT,Low,0.0
2036,littering,PVC,PTT,Low,0.0
2037,littering,PVC,PTT,Low,0.0
2038,littering,PVC,PTT,Low,0.0
2039,littering,PVC,PTT,Low,0.0
2040,littering,PVC,PTT,Low,0.0
2041,littering,PVC,PTT,Low,0.0
2042,littering,PVC,PTT,Low,0.0
2014,littering,PS,PTT,Low,2146.6035624
2015,littering,PS,PTT,Low,2185.2417304
2016,littering,PS,PTT,Low,2185.2417303999996
2017,littering,PS,PTT,Low,2185.2417304
2018,littering,PS,PTT,Low,2195.3336204
2019,littering,PS,PTT,Low,2204.055944
2020,littering,PS,PTT,Low,1878.9077436000002
2021,littering,PS,PTT,Low,1541.0228032
2022,littering,PS,PTT,Low,1467.1792408
2023,littering,PS,PTT,Low,1589.8404303999998
2024,littering,PS,PTT,Low,1599.5068356000002
2025,littering,PS,PTT,Low,1607.3724296
2026,littering,PS,PTT,Low,1613.4098887999999
2027,littering,PS,PTT,Low,1617.5797536000002
2028,littering,PS,PTT,Low,1621.5007956000002
2029,littering,PS,PTT,Low,1625.1717816
2030,littering,PS,PTT,Low,1628.5967748000003
2031,littering,PS,PTT,Low,1631.7843896
2032,littering,PS,PTT,Low,1634.7376783999998
2033,littering,PS,PTT,Low,1637.4650364000001
2034,littering,PS,PTT,Low,1639.9816476
2035,littering,PS,PTT,Low,1642.3299488000002
2036,littering,PS,PTT,Low,1644.554882
2037,littering,PS,PTT,Low,1646.6751616000001
2038,littering,PS,PTT,Low,1648.7036864000002
2039,littering,PS,PTT,Low,1650.6479472
2040,littering,PS,PTT,Low,1652.4992392000001
2041,littering,PS,PTT,Low,1654.247094
2042,littering,PS,PTT,Low,1655.8910948000002
2014,littering,PVC,Bottle,Low,0.0
2015,littering,PVC,Bottle,Low,0.0
2016,littering,PVC,Bottle,Low,0.0
2017,littering,PVC,Bottle,Low,0.0
2018,littering,PVC,Bottle,Low,0.0
2019,littering,PVC,Bottle,Low,0.0
2020,littering,PVC,Bottle,Low,22.104799747099623
2021,littering,PVC,Bottle,Low,45.324194414474995
2022,littering,PVC,Bottle,Low,0.0
2023,littering,PVC,Bottle,Low,0.0
2024,littering,PVC,Bottle,Low,0.0
2025,littering,PVC,Bottle,Low,0.0
2026,littering,PVC,Bottle,Low,0.0
2027,littering,PVC,Bottle,Low,0.0
2028,littering,PVC,Bottle,Low,0.0
2029,littering,PVC,Bottle,Low,0.0
2030,littering,PVC,Bottle,Low,0.0
2031,littering,PVC,Bottle,Low,0.0
2032,littering,PVC,Bottle,Low,0.0
2033,littering,PVC,Bottle,Low,0.0
2034,littering,PVC,Bottle,Low,0.0
2035,littering,PVC,Bottle,Low,0.0
2036,littering,PVC,Bottle,Low,0.0
2037,littering,PVC,Bottle,Low,0.0
2038,littering,PVC,Bottle,Low,0.0
2039,littering,PVC,Bottle,Low,0.0
2040,littering,PVC,Bottle,Low,0.0
2041,littering,PVC,Bottle,Low,0.0
2042,littering,PVC,Bottle,Low,0.0
2014,littering,PP,Film,Low,5008.741644000001
2015,littering,PP,Film,Low,5098.897371999999
2016,littering,PP,Film,Low,5098.897371999999
2017,littering,PP,Film,Low,5098.897371999999
2018,littering,PP,Film,Low,4736.229016
2019,littering,PP,Film,Low,4321.67832
2020,littering,PP,Film,Low,5791.456808
2021,littering,PP,Film,Low,7342.520416
2022,littering,PP,Film,Low,5135.127344
2023,littering,PP,Film,Low,5564.441508
2024,littering,PP,Film,Low,5598.273924
2025,littering,PP,Film,Low,5625.803504
2026,littering,PP,Film,Low,5646.934612
2027,littering,PP,Film,Low,5661.529136
2028,littering,PP,Film,Low,5675.252783999999
2029,littering,PP,Film,Low,5688.101236
2030,littering,PP,Film,Low,5700.088712000001
2031,littering,PP,Film,Low,5711.245364
2032,littering,PP,Film,Low,5721.581875999999
2033,littering,PP,Film,Low,5731.127628
2034,littering,PP,Film,Low,5739.935768
2035,littering,PP,Film,Low,5748.15482
2036,littering,PP,Film,Low,5755.942088000001
2037,littering,PP,Film,Low,5763.363064
2038,littering,PP,Film,Low,5770.462904000001
2039,littering,PP,Film,Low,5777.267816
2040,littering,PP,Film,Low,5783.747336
2041,littering,PP,Film,Low,5789.864828
2042,littering,PP,Film,Low,5795.618832
2014,littering,PET,Film,Low,1167.4510604
2015,littering,PET,Film,Low,1188.4648008
2016,littering,PET,Film,Low,1188.4648008
2017,littering,PET,Film,Low,1188.4648008
2018,littering,PET,Film,Low,1524.5372364000002
2019,littering,PET,Film,Low,1901.5384616
2020,littering,PET,Film,Low,1790.4885556
2021,littering,PET,Film,Low,1676.9954032
2022,littering,PET,Film,Low,1424.02691
2023,littering,PET,Film,Low,1543.080418
2024,littering,PET,Film,Low,1552.4625168
2025,littering,PET,Film,Low,1560.09677
2026,littering,PET,Film,Low,1565.9566568
2027,littering,PET,Film,Low,1570.0038784
2028,littering,PET,Film,Low,1573.8095956
2029,littering,PET,Film,Low,1577.3726116
2030,littering,PET,Film,Low,1580.6968696
2031,littering,PET,Film,Low,1583.7907312
2032,littering,PET,Film,Low,1586.6571583999998
2033,littering,PET,Film,Low,1589.3043
2034,littering,PET,Film,Low,1591.7468932000002
2035,littering,PET,Film,Low,1594.0261268
2036,littering,PET,Film,Low,1596.1856208000002
2037,littering,PET,Film,Low,1598.2435392
2038,littering,PET,Film,Low,1600.2124012000002
2039,littering,PET,Film,Low,1602.099478
2040,littering,PET,Film,Low,1603.8963204
2041,littering,PET,Film,Low,1605.5927676000001
2042,littering,PET,Film,Low,1607.1884156
2014,sent for sorting,PVC,PTT,Low,5312.743517616192
2015,sent for sorting,PVC,PTT,Low,5531.006767539993
2016,sent for sorting,PVC,PTT,Low,6349.168653715344
2017,sent for sorting,PVC,PTT,Low,6564.891377482726
2018,sent for sorting,PVC,PTT,Low,6072.546811575777
2019,sent for sorting,PVC,PTT,Low,4262.440343603381
2020,sent for sorting,PVC,PTT,Low,2597.9846564971726
2021,sent for sorting,PVC,PTT,Low,2882.9169962719225
2022,sent for sorting,PVC,PTT,Low,3320.4065517315016
2023,sent for sorting,PVC,PTT,Low,21.582230870760863
2024,sent for sorting,PVC,PTT,Low,0.1294933852245671
2025,sent for sorting,PVC,PTT,Low,0.0007769603113474118
2026,sent for sorting,PVC,PTT,Low,4.661761868084438e-06
2027,sent for sorting,PVC,PTT,Low,2.797057120850687e-08
2028,sent for sorting,PVC,PTT,Low,1.678234272510426e-10
2029,sent for sorting,PVC,PTT,Low,1.0069405635062657e-12
2030,sent for sorting,PVC,PTT,Low,6.041643381037611e-15
2031,sent for sorting,PVC,PTT,Low,3.6249860286225297e-17
2032,sent for sorting,PVC,PTT,Low,2.174991617173523e-19
2033,sent for sorting,PVC,PTT,Low,1.3049949703041132e-21
2034,sent for sorting,PVC,PTT,Low,7.8299698218247e-24
2035,sent for sorting,PVC,PTT,Low,4.697981893094837e-26
2036,sent for sorting,PVC,PTT,Low,2.818789135856904e-28
2037,sent for sorting,PVC,PTT,Low,1.691273481514137e-30
2038,sent for sorting,PVC,PTT,Low,1.0147640889084843e-32
2039,sent for sorting,PVC,PTT,Low,6.088584533450964e-35
2040,sent for sorting,PVC,PTT,Low,3.6531507200705697e-37
2041,sent for sorting,PVC,PTT,Low,2.1918904320423207e-39
2042,sent for sorting,PVC,PTT,Low,1.3151342592254074e-41
2014,sent for sorting,HDPE,Film,Low,40051.30051670557
2015,sent for sorting,HDPE,Film,Low,42192.6355136702
2016,sent for sorting,HDPE,Film,Low,47580.806139578126
2017,sent for sorting,HDPE,Film,Low,49192.23839412789
2018,sent for sorting,HDPE,Film,Low,30034.888366585074
2019,sent for sorting,HDPE,Film,Low,12683.279775840705
2020,sent for sorting,HDPE,Film,Low,13129.496703829864
2021,sent for sorting,HDPE,Film,Low,10453.64536224934
2022,sent for sorting,HDPE,Film,Low,11949.649898067964
2023,sent for sorting,HDPE,Film,Low,14027.485435773711
2024,sent for sorting,HDPE,Film,Low,14112.774090365181
2025,sent for sorting,HDPE,Film,Low,14182.173822636125
2026,sent for sorting,HDPE,Film,Low,14235.44355517943
2027,sent for sorting,HDPE,Film,Low,14272.235117703365
2028,sent for sorting,HDPE,Film,Low,14306.831272934493
2029,sent for sorting,HDPE,Film,Low,14339.221126538543
2030,sent for sorting,HDPE,Film,Low,14369.440538243014
2031,sent for sorting,HDPE,Film,Low,14397.565515765456
2032,sent for sorting,HDPE,Film,Low,14423.622982321487
2033,sent for sorting,HDPE,Film,Low,14447.687013068502
2034,sent for sorting,HDPE,Film,Low,14469.891586213407
2035,sent for sorting,HDPE,Film,Low,14490.611125814625
2036,sent for sorting,HDPE,Film,Low,14510.242166692437
2037,sent for sorting,HDPE,Film,Low,14528.949822745291
2038,sent for sorting,HDPE,Film,Low,14546.847906609502
2039,sent for sorting,HDPE,Film,Low,14564.002516895123
2040,sent for sorting,HDPE,Film,Low,14580.33684380897
2041,sent for sorting,HDPE,Film,Low,14595.758522343214
2042,sent for sorting,HDPE,Film,Low,14610.263876844207
2014,sent for sorting,PS,PTT,Low,23295.144178482496
2015,sent for sorting,PS,PTT,Low,24540.614534240474
2016,sent for sorting,PS,PTT,Low,27674.550510633366
2017,sent for sorting,PS,PTT,Low,28611.81212810534
2018,sent for sorting,PS,PTT,Low,26588.261834064764
2019,sent for sorting,PS,PTT,Low,26951.969523050077
2020,sent for sorting,PS,PTT,Low,27900.180500093204
2021,sent for sorting,PS,PTT,Low,22213.99639189683
